Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,2029,2034.8,1977,1983,3339800,1717.1
19/02/2013,1976,2003,1967,1995.5,3355100,1727.9
20/02/2013,1998,2014.5,1942.5,1951,3666000,1689.4
21/02/2013,1942,1942.5,1904,1923,4067800,1665.1
22/02/2013,1935,1971,1923,1942,3723900,1681.6
23/02/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
24/02/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
25/02/2013,1956,2000.5,1956,1981.5,3971500,1715.8
26/02/2013,1933.5,1960.5,1930.5,1938.5,3163000,1678.5
27/02/2013,1943,1959,1906.5,1952.5,2647200,1690.7
28/02/2013,1965,1965,1903,1922,4273600,1664.2
01/03/2013,1918.5,1919,1866,1900,3368800,1645.2
02/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
03/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
04/03/2013,1836.5,1856.5,1825,1849,4223500,1601
05/03/2013,1858.5,1888,1849.5,1878.5,3049700,1626.6
06/03/2013,1882.5,1887,1841.5,1846.5,3041100,1598.9
07/03/2013,1851.5,1878.5,1848.5,1851,3221700,1602.8
08/03/2013,1863.5,1870.5,1831,1850.5,4077300,1602.3
09/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
10/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
11/03/2013,1852,1864,1845,1861,2779200,1611.4
12/03/2013,1853.5,1890,1849,1868.5,2647200,1617.9
13/03/2013,1865,1879,1836.5,1860,4610800,1610.6
14/03/2013,1858.5,1870,1842,1863.5,5296800,1613.6
15/03/2013,1874,1900.5,1869,1892.5,5722000,1638.7
16/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
17/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
18/03/2013,1853.5,1890,1833,1873.5,3013100,1622.2
19/03/2013,1868,1868,1807,1820,3577800,1575.9
20/03/2013,1799,1817,1765.3,1773,4485500,1565
21/03/2013,1779,1784,1735,1756,3277300,1550
22/03/2013,1749,1764,1727.5,1729.5,2408400,1526.6
23/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
24/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
25/03/2013,1745.5,1750,1708,1717.5,2542300,1516
26/03/2013,1708,1748.5,1708,1736,4602800,1532.3
27/03/2013,1744,1759.6,1708,1722,2877400,1520
28/03/2013,1713,1727.5,1685.5,1692,3415200,1493.5
29/03/2013,1692,1692,1692,1692,0,1493.5
30/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
31/03/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
01/04/2013,1692,1692,1692,1692,0,1493.5
02/04/2013,1688,1701,1669.5,1674,7511700,1477.6
03/04/2013,1664,1664.5,1632.5,1650,4415600,1456.4
04/04/2013,1646,1678,1635,1646,3903400,1452.9
05/04/2013,1658,1668.5,1616.5,1639.5,3787900,1447.2
06/04/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
07/04/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
08/04/2013,1650,1666.5,1631,1644.5,1768900,1451.6
09/04/2013,1670,1702,1668.5,1699.5,2882500,1500.1
10/04/2013,1698.5,1718.1,1689,1695,11136000,1496.1
11/04/2013,1694,1694,1650.5,1671,3321800,1475
12/04/2013,1662,1684,1639,1642,3189500,1449.4
13/04/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
14/04/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
15/04/2013,1649.5,1649.5,1562,1575,5871300,1390.2
16/04/2013,1567,1615.5,1565,1587,3877400,1400.8
17/04/2013,1598,1601,1541.5,1553,3445600,1370.8
18/04/2013,1558,1572,1540,1562,3479800,1378.7
19/04/2013,1609,1613.5,1579,1596.5,4942900,1409.2
20/04/2013,1224.7,1241.8,1204,1222.3,6424700,1120.9
