Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1276,1276.6,1260,1273,1.85E+05,1151.4
19/02/2013,1271,1291,1267.6,1290,2.97E+05,1166.7
20/02/2013,1279,1300,1272,1291,9.68E+05,1167.6
21/02/2013,1284,1284,1260,1264,2.44E+05,1143.2
22/02/2013,1267,1271,1254,1261,5.39E+05,1140.5
23/02/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
24/02/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
25/02/2013,1264,1270,1253,1263,3.43E+05,1142.3
26/02/2013,1243,1251,1235,1246,2.53E+05,1126.9
27/02/2013,1248,1253,1240.7,1251,2.85E+05,1131.5
28/02/2013,1258,1261,1242,1251,4.88E+05,1131.5
01/03/2013,1253,1256,1228,1247,3.93E+05,1127.8
02/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
03/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
04/03/2013,1247,1276,1241,1276,6.21E+05,1154.1
05/03/2013,1281,1291,1261,1267,7.26E+05,1145.9
06/03/2013,1311,1350,1306.8,1334,9.60E+05,1206.5
07/03/2013,1347,1378,1341.1,1356,8.95E+05,1226.4
08/03/2013,1361,1363.8,1336,1353,4.36E+05,1223.7
09/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
10/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
11/03/2013,1353,1367,1341,1359,3.30E+05,1229.1
12/03/2013,1360,1361,1335,1344,3.72E+05,1215.6
13/03/2013,1344,1351,1336,1343,4.73E+05,1214.7
14/03/2013,1346,1355,1339,1340,5.27E+05,1212
15/03/2013,1344,1352,1324,1336,9.39E+05,1208.3
16/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
17/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
18/03/2013,1319,1350,1310,1340,4.82E+05,1212
19/03/2013,1342,1352,1335,1339,2.72E+05,1211.1
20/03/2013,1348,1348,1323.2,1332,2.90E+05,1204.7
21/03/2013,1330,1341,1322,1337,6.68E+05,1209.3
22/03/2013,1331,1339,1324,1335,3.64E+05,1207.4
23/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
24/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
25/03/2013,1342,1348,1312,1319,5.16E+05,1193
26/03/2013,1330,1333,1313,1325,3.64E+05,1198.4
27/03/2013,1322,1327,1315,1322,3.88E+05,1195.7
28/03/2013,1324,1337,1318,1332,4.17E+05,1204.7
29/03/2013,1332,1332,1332,1332,0,1204.7
30/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
31/03/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
01/04/2013,1332,1332,1332,1332,0,1204.7
02/04/2013,1333,1374.7,1329,1374,7.17E+05,1242.7
03/04/2013,1377,1377,1353,1355,4.72E+05,1225.5
04/04/2013,1365,1365,1323,1324,4.08E+05,1197.5
05/04/2013,1332,1333.9,1306.1,1311,2.82E+05,1185.7
06/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
07/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
08/04/2013,1310,1322,1306,1315,2.71E+05,1189.4
09/04/2013,1315,1327,1304.1,1318,3.01E+05,1192.1
10/04/2013,1327,1346,1316,1343,3.38E+05,1214.7
11/04/2013,1339,1354,1337,1347,2.72E+05,1218.3
12/04/2013,1346,1353.9,1334.1,1350,2.31E+05,1221
13/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
14/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
15/04/2013,1348,1353,1318,1321,3.32E+05,1194.8
16/04/2013,1311,1322,1298,1304,2.96E+05,1179.4
17/04/2013,1317,1323,1288.1,1317,6.56E+05,1191.2
18/04/2013,1320,1335,1316,1325,5.90E+05,1198.4
19/04/2013,1332,1334,1318,1331,4.43E+05,1203.8
20/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
21/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
22/04/2013,1337,1355.8,1318,1327,5.06E+05,1200.2
23/04/2013,1326,1349.6,1314,1347,5.38E+05,1218.3
24/04/2013,1347,1366,1340,1349,4.17E+05,1220.1
25/04/2013,1325,1348,1319,1320,1.44E+06,1193.9
26/04/2013,1314,1324,1313,1322,3.77E+05,1195.7
27/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
28/04/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
29/04/2013,1325,1329,1316,1325,2.46E+05,1198.4
30/04/2013,1326,1335,1280.6,1281,1.72E+06,1158.6
01/05/2013,1242,1289.2,1231,1241,1.39E+06,1141.5
02/05/2013,1244,1249,1226,1233,4.02E+05,1134.1
03/05/2013,1233,1262,1233,1259,4.90E+05,1158
04/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
05/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
06/05/2013,1259,1259,1259,1259,0,1158
07/05/2013,1234,1274,1230,1242,5.04E+05,1142.4
08/05/2013,1243,1257.1,1243,1253,2.92E+05,1152.5
09/05/2013,1251,1272,1251,1261,3.75E+05,1159.9
10/05/2013,1258,1273,1255,1262,2.33E+05,1160.8
11/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
12/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
13/05/2013,1260,1266,1255,1263,2.77E+05,1161.7
14/05/2013,1263,1275,1261,1275,2.36E+05,1172.8
15/05/2013,1271,1290,1271,1283,2.11E+05,1180.1
16/05/2013,1283,1286,1251,1262,4.13E+05,1160.8
17/05/2013,1260,1264.8,1249,1261,7.57E+05,1159.9
18/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
19/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
20/05/2013,1265,1276,1250,1275,2.42E+05,1172.8
21/05/2013,1275,1278,1257,1271,3.06E+05,1169.1
22/05/2013,1268,1296,1267,1292,4.33E+05,1188.4
23/05/2013,1275,1291,1272,1286,4.65E+05,1182.9
24/05/2013,1291,1298,1283,1298,6.85E+05,1193.9
25/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
26/05/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
27/05/2013,1298,1298,1298,1298,0,1193.9
28/05/2013,1300,1316.1,1300,1312,3.82E+05,1206.8
29/05/2013,1315,1318,1291,1297,2.70E+05,1193
30/05/2013,1294,1317,1294,1317,3.03E+05,1211.4
31/05/2013,1315,1338.4,1298,1338,1.35E+06,1230.7
01/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
02/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
03/06/2013,1332,1336.1,1315,1324,3.12E+05,1217.8
04/06/2013,1325,1331,1314,1320,2.77E+05,1214.2
05/06/2013,1318,1327,1291,1297,5.58E+05,1193
06/06/2013,1301,1306,1279,1280,3.25E+05,1177.4
07/06/2013,1287,1306,1278,1304,3.56E+05,1199.4
08/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
09/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
10/06/2013,1312,1319,1299,1308,3.89E+05,1203.1
11/06/2013,1306,1306.6,1289,1304,3.06E+05,1199.4
12/06/2013,1301,1317,1299,1306,2.88E+05,1201.3
13/06/2013,1285,1320,1279.6,1316,5.43E+05,1210.5
14/06/2013,1321,1322,1301,1306,2.66E+05,1201.3
15/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
16/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
17/06/2013,1307,1314,1302,1306,2.43E+05,1201.3
18/06/2013,1304,1334,1302,1325,2.99E+05,1218.8
19/06/2013,1322,1323,1303,1318,2.37E+05,1212.3
20/06/2013,1293,1305,1284.5,1293,3.51E+05,1189.3
21/06/2013,1293,1332,1292,1310,8.82E+05,1205
22/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
23/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
24/06/2013,1309,1319,1285,1293,2.51E+05,1189.3
25/06/2013,1302,1305,1293,1301,2.35E+05,1196.7
26/06/2013,1302,1318,1290,1308,2.87E+05,1203.1
27/06/2013,1310,1326,1299,1317,2.91E+05,1211.4
28/06/2013,1316,1346,1308,1327,6.18E+05,1220.6
29/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
30/06/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
01/07/2013,1329,1330,1304,1314,3.76E+05,1208.6
02/07/2013,1315,1326,1307,1325,3.41E+05,1218.8
03/07/2013,1307,1327,1280,1325,2.88E+05,1218.8
04/07/2013,1330,1358,1321,1347,2.59E+05,1239
05/07/2013,1353,1360,1340,1340,2.14E+05,1232.6
06/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
07/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
08/07/2013,1340,1360,1330,1350,3.58E+05,1241.8
09/07/2013,1362,1362,1343,1352,2.35E+05,1243.6
10/07/2013,1353,1366,1336,1350,3.72E+05,1241.8
11/07/2013,1357,1364,1338,1347,3.03E+05,1239
12/07/2013,1348,1373,1348,1369,2.15E+05,1259.2
13/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
14/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
15/07/2013,1373,1391,1368,1391,3.18E+05,1279.5
16/07/2013,1390,1397,1382,1390,3.89E+05,1278.5
17/07/2013,1383,1388,1361,1375,2.73E+05,1264.7
18/07/2013,1381,1389,1372,1384,2.95E+05,1273
19/07/2013,1374,1387,1369,1386,4.57E+05,1274.9
20/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
21/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
22/07/2013,1383,1386.6,1371.1,1380,1.76E+05,1269.3
23/07/2013,1379,1397,1371,1380,3.44E+05,1269.3
24/07/2013,1387,1396,1384,1392,3.19E+05,1280.4
25/07/2013,1390,1401,1386,1400,2.63E+05,1287.7
26/07/2013,1405,1405,1384,1400,2.97E+05,1287.7
27/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
28/07/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
29/07/2013,1398,1411,1391,1402,2.83E+05,1289.6
30/07/2013,1402,1417,1388,1416,2.95E+05,1302.5
31/07/2013,1408,1425,1400,1403,4.14E+05,1290.5
01/08/2013,1406,1412,1378,1381,6.25E+05,1270.3
02/08/2013,1384,1384.3,1342,1364,5.68E+05,1254.6
03/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
04/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
05/08/2013,1367,1367,1327.2,1330,5.75E+05,1223.4
06/08/2013,1327,1338,1259,1268,8.19E+05,1166.3
07/08/2013,1255,1290,1241,1265,9.18E+05,1163.6
08/08/2013,1270,1285,1253,1253,6.52E+05,1152.5
09/08/2013,1250,1262,1243,1251,4.56E+05,1150.7
10/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
11/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
12/08/2013,1253,1259.8,1233,1237,4.49E+05,1137.8
13/08/2013,1237,1257,1237,1257,5.91E+05,1156.2
14/08/2013,1260,1274,1258,1267,4.22E+05,1165.4
15/08/2013,1270,1284.3,1267,1279,7.51E+05,1176.4
16/08/2013,1280,1297,1270,1293,6.89E+05,1189.3
17/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
18/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
19/08/2013,1300,1300,1281,1290,3.04E+05,1186.6
20/08/2013,1283,1297,1280,1296,4.22E+05,1192.1
21/08/2013,1302,1305,1291,1294,3.98E+05,1190.2
22/08/2013,1294,1303,1288,1293,3.67E+05,1189.3
23/08/2013,1291,1302,1286,1295,3.69E+05,1191.2
24/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
25/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
26/08/2013,1295,1295,1295,1295,0,1191.2
27/08/2013,1310,1315,1295,1296,6.60E+05,1192.1
28/08/2013,1297,1301,1282.5,1290,8.12E+05,1186.6
29/08/2013,1315,1328,1232,1270,8.93E+05,1168.2
30/08/2013,1274,1276.3,1260,1261,6.09E+05,1159.9
31/08/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
01/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
02/09/2013,1269,1276.6,1264,1266,4.03E+05,1164.5
03/09/2013,1267,1278.7,1262,1265,4.15E+05,1163.6
04/09/2013,1264,1268,1258,1264,6.70E+05,1162.6
05/09/2013,1267,1269,1249,1260,5.02E+05,1159
06/09/2013,1253,1267,1251,1258,8.25E+05,1157.1
07/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
08/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
09/09/2013,1260,1266,1254,1259,5.39E+05,1158
10/09/2013,1260,1295.2,1260,1280,5.02E+05,1177.4
11/09/2013,1217,1232.1,1217,1227,6.70E+05,1148.8
12/09/2013,1225,1235,1220,1223,4.23E+05,1145.1
13/09/2013,1220,1234.8,1220,1223,2.35E+05,1145.1
14/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
15/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
16/09/2013,1230,1244,1210,1214,4.57E+05,1136.6
17/09/2013,1215,1225,1211,1212,5.23E+05,1134.8
18/09/2013,1210,1215,1207,1210,6.57E+05,1132.9
19/09/2013,1215,1230,1214,1218,5.59E+05,1140.4
20/09/2013,1215,1229,1215,1224,5.80E+05,1146
21/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
22/09/2013,1412.1,1424.4,1398.9,1411.8,6.71E+05,1352.6
23/09/2013,1224,1235.4,1215,1216,3.97E+05,1138.5
