Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,428.3,429.26,423.7,424.3,1.80E+06,368.24
19/02/2013,425,437.8,424.08,437,4.08E+06,379.26
20/02/2013,437.4,442.37,436.5,441.9,2.75E+06,383.51
21/02/2013,439.9,439.9,425.3,425.3,3.31E+06,369.11
22/02/2013,427,437.3,426.6,435.1,3.59E+06,377.61
23/02/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
24/02/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
25/02/2013,438.1,439.4,432.3,435.5,3.39E+06,377.96
26/02/2013,429.8,429.8,421.2,424.7,3.66E+06,368.59
27/02/2013,426.8,428.09,420.98,427,3.33E+06,370.58
28/02/2013,429.9,433.5,424.7,429.9,4.62E+06,373.1
01/03/2013,429,433.77,425.2,430,2.35E+06,373.19
02/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
03/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
04/03/2013,430,430.6,425.6,429.8,2.21E+06,373.01
05/03/2013,431,436.8,431,434.9,5.17E+06,377.44
06/03/2013,436.3,437.7,430.5,431.9,2.34E+06,374.84
07/03/2013,433.7,438.3,433.5,435.4,2.60E+06,377.87
08/03/2013,437.3,437.4,426.5,430.1,3.79E+06,373.27
09/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
10/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
11/03/2013,428.3,431.1,425.7,430,2.79E+06,373.19
12/03/2013,430,433,428.2,428.9,3.01E+06,372.23
13/03/2013,429,430.6,420.7,421.2,3.01E+06,365.55
14/03/2013,423.9,428,421.3,424.6,3.59E+06,368.5
15/03/2013,425.2,429.1,411.09,411.3,9.20E+06,356.96
16/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
17/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
18/03/2013,406.7,420.5,402.3,420.3,5.39E+06,364.77
19/03/2013,418.9,423.2,415.8,417.1,2.63E+06,361.99
20/03/2013,419.9,423.4,418.8,422.5,3.62E+06,366.68
21/03/2013,421.2,422.5,413.9,416.3,2.42E+06,361.3
22/03/2013,413.3,413.4,402.09,409,4.21E+06,354.96
23/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
24/03/2013,406.05,410.55,400.39,405.37,4.43E+06,371.24
25/03/2013,420,436.7,411.8,411.8,6.50E+06,357.39
