Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,490.9,494.2,484.7,486.9,5.62E+05,466.56
19/02/2013,487.5,504.5,484.3,503,1.06E+06,481.98
20/02/2013,502.5,505,499,504.5,1.01E+06,483.42
21/02/2013,501.5,503.35,491.7,494.7,9.43E+05,474.03
22/02/2013,496.1,500.85,494.78,497.2,9.67E+05,476.43
23/02/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
24/02/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
25/02/2013,501.5,505.46,495.95,502,9.96E+05,481.03
26/02/2013,490.1,499.6,482.7,497,1.20E+06,476.24
27/02/2013,501.5,510,497.4,508.5,9.35E+05,487.25
28/02/2013,511,520,507.5,515,9.01E+05,493.48
01/03/2013,514,537,512.81,533,1.36E+06,510.73
02/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
03/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
04/03/2013,530,532.5,515.5,524.5,1.84E+06,502.59
05/03/2013,550.5,580,545.88,561,4.15E+06,537.56
06/03/2013,573,577.21,561.5,575,2.10E+06,550.98
07/03/2013,576.5,596,574,587,1.58E+06,562.47
08/03/2013,594,596,583.5,591.5,1.80E+06,566.79
09/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
10/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
11/03/2013,591.5,596.5,577.75,584,1.47E+06,559.6
12/03/2013,582,586.5,576.5,576.5,9.83E+05,552.41
13/03/2013,577.5,585,569.59,584.5,8.99E+05,560.08
14/03/2013,588,595,579.5,583.5,1.60E+06,559.12
15/03/2013,591,593,580.5,588.5,1.83E+06,563.91
16/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
17/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
18/03/2013,575.5,594,574.5,594,1.17E+06,569.18
19/03/2013,594,598.5,589,593.5,9.88E+05,568.7
20/03/2013,594.5,598.64,581.5,587.5,7.54E+05,562.95
21/03/2013,585,588.5,571,575.5,1.07E+06,551.46
22/03/2013,574.5,590.5,571,573,2.35E+06,549.06
23/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
24/03/2013,894.58,905.25,881.99,893.73,1.96E+06,874.61
