Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1123,1125,1082,1098,1.63E+06,993.48
19/02/2013,1096,1102,1087,1095,2.50E+06,990.76
20/02/2013,1093,1097,1064.8,1068,2.18E+06,966.33
21/02/2013,1056,1071,1039,1067,3.16E+06,965.43
22/02/2013,1082,1101,1077.5,1084,3.13E+06,980.81
23/02/2013,757.06,767,744.78,755.6,2.57E+06,720.56
24/02/2013,757.06,767,744.78,755.6,2.57E+06,720.56
25/02/2013,1101,1126,1100,1117,2.40E+06,1010.7
26/02/2013,1098,1115,1095.4,1101,2.08E+06,996.19
27/02/2013,1110,1119,1085,1115,1.64E+06,1008.9
28/02/2013,1127,1130,1089,1093,2.01E+06,988.95
01/03/2013,1093,1093,1062,1079,2.14E+06,976.29
02/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
03/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
04/03/2013,1071,1072,1050,1058,2.99E+06,957.29
05/03/2013,1069,1097,1064.1,1095,2.24E+06,990.76
06/03/2013,1100,1100,1063,1064,1.60E+06,962.72
07/03/2013,1070,1086.3,1066,1070,2.92E+06,968.14
08/03/2013,1075,1079.4,1063.5,1069,2.04E+06,967.24
09/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
10/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
11/03/2013,1071,1105.3,1067.4,1095,2.78E+06,990.76
12/03/2013,1135,1157.7,1126,1129,4.91E+06,1021.5
13/03/2013,1141,1150,1086,1095,3.62E+06,990.76
14/03/2013,1100,1104,1078,1088,2.45E+06,984.43
15/03/2013,1094,1097,1077,1082,3.59E+06,979
16/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
17/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
18/03/2013,1059,1074,1047,1066,1.87E+06,964.52
19/03/2013,1068,1070,1045,1050,2.33E+06,950.05
20/03/2013,1051,1062.5,1041,1048,1.84E+06,948.24
21/03/2013,1053,1060,1037.5,1048,1.57E+06,948.24
22/03/2013,1042,1055,1032,1033,1.45E+06,934.67
23/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
24/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
25/03/2013,1043,1043,1002,1008,1.76E+06,912.04
26/03/2013,1009,1030,1004.5,1021,1.60E+06,923.81
27/03/2013,1034,1038,1019,1025,1.47E+06,927.43
28/03/2013,1015,1015,980,984,3.98E+06,890.33
29/03/2013,984,984,984,984,0,890.33
30/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
31/03/2013,757.06,767,744.78,755.6,2.57E+06,720.56
01/04/2013,984,984,984,984,0,890.33
02/04/2013,979.5,992.5,950.08,966.5,2.55E+06,874.5
03/04/2013,966.5,971.5,944.5,952.5,1.98E+06,861.83
04/04/2013,949,985.5,947,969,1.84E+06,876.76
05/04/2013,973.5,985,950,961,1.42E+06,869.52
06/04/2013,757.06,767,744.78,755.6,2.57E+06,720.56
07/04/2013,757.06,767,744.78,755.6,2.57E+06,720.56
08/04/2013,969.5,1002,962.5,990.5,3.11E+06,896.21
09/04/2013,1007,1029,1000,1028,2.90E+06,930.14
10/04/2013,1034,1043,1018,1032,2.70E+06,933.76
11/04/2013,1037,1037,1001,1015,2.14E+06,918.38
12/04/2013,1017,1060,1010,1013,2.76E+06,916.57
13/04/2013,757.06,767,744.78,755.6,2.57E+06,720.56
14/04/2013,757.06,767,744.78,755.6,2.57E+06,720.56
15/04/2013,1008,1008,934.5,937,3.62E+06,847.8
16/04/2013,939,957,938,944,2.46E+06,854.14
17/04/2013,949.5,949.5,901.5,906,3.36E+06,819.76
18/04/2013,896.5,896.5,859.16,889.5,5.63E+06,804.83
19/04/2013,896.5,919,890,902.5,3.91E+06,816.59
20/04/2013,757.06,767,744.78,755.6,2.57E+06,720.56
21/04/2013,757.06,767,744.78,755.6,2.57E+06,720.56
22/04/2013,905,911.5,886,892.5,2.24E+06,807.54
23/04/2013,887,890,875.5,884,2.87E+06,799.85
24/04/2013,890,923,890,911.5,3.17E+06,824.73
25/04/2013,918.5,956.46,917.5,953.5,3.84E+06,862.73
26/04/2013,955,955,915,916,2.19E+06,828.8
