Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,935.5,939.76,921,923,1.24E+06,899.35
19/02/2013,920.5,943,920.5,941.5,2.12E+06,917.37
20/02/2013,941.5,965.1,939.42,951.5,2.99E+06,927.12
21/02/2013,937.5,942.5,906,919.5,6.59E+06,895.94
22/02/2013,914.5,928.5,914.5,924,3.07E+06,900.32
23/02/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
24/02/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
25/02/2013,932,943.5,930.3,939,3.16E+06,914.94
26/02/2013,922.5,941.5,921,936,2.85E+06,912.01
27/02/2013,944,951.77,937.5,950,2.17E+06,925.65
28/02/2013,956.5,960,947.5,955,3.17E+06,930.53
01/03/2013,956,970.5,943,965.5,3.31E+06,940.76
02/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
03/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
04/03/2013,964,967.64,957,963,2.11E+06,938.32
05/03/2013,969,978,958.5,971.5,3.14E+06,946.6
06/03/2013,971.5,985,962.5,963,2.49E+06,938.32
07/03/2013,959.5,967,944.5,946,3.82E+06,921.76
08/03/2013,950.5,953.51,934.5,945.5,4.85E+06,921.27
09/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
10/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
11/03/2013,942.5,957.5,941,948.5,3.27E+06,924.19
12/03/2013,945.5,958,945.2,950,3.44E+06,925.65
13/03/2013,945,951.5,916,920,3.98E+06,896.42
14/03/2013,921,927.78,912,922.5,4.29E+06,898.86
15/03/2013,930,957.33,926,928.5,7.84E+06,904.71
16/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
17/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
18/03/2013,915,938.5,910,920.5,4.12E+06,896.91
19/03/2013,912,913.5,888,896.5,7.76E+06,873.53
20/03/2013,903.5,909,894.5,906.5,3.21E+06,883.27
21/03/2013,901.5,904.99,876,878.5,3.91E+06,855.99
22/03/2013,874,887.42,862.5,879,4.02E+06,856.48
23/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
24/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
25/03/2013,893,922.23,886.5,916,6.11E+06,892.53
26/03/2013,914.5,922,904.5,918,3.50E+06,894.48
27/03/2013,922,925,911,918.5,3.21E+06,894.96
28/03/2013,921.5,931.54,914.5,921,2.57E+06,897.4
29/03/2013,921,921,921,921,0,897.4
30/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
31/03/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
01/04/2013,921,921,921,921,0,897.4
02/04/2013,913,923,913,916,2.49E+06,892.53
03/04/2013,913,936,912.74,916,3.42E+06,892.53
04/04/2013,908,909,879.5,879.5,4.57E+06,856.96
05/04/2013,890,892,869.8,878,3.44E+06,855.5
06/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
07/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
08/04/2013,888,911,882.5,885.5,2.28E+06,862.81
09/04/2013,891,896.5,873,876.5,2.86E+06,854.04
10/04/2013,877,888.5,870,886.5,3.25E+06,863.78
11/04/2013,886,902,882.5,899.5,2.01E+06,876.45
12/04/2013,894,901,889.5,896,1.86E+06,873.04
13/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
14/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
15/04/2013,901.5,908.5,885.5,896.5,1.97E+06,873.53
16/04/2013,886.5,886.64,854,868,6.87E+06,845.76
17/04/2013,872,897,857,868,5.43E+06,848.83
18/04/2013,876,892,864,866,3.37E+06,846.88
19/04/2013,871,874,854.5,872.5,3.84E+06,853.23
20/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
21/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
22/04/2013,874.5,880.5,864,869,3.83E+06,849.81
23/04/2013,925,978.5,920.89,972,1.04E+07,950.53
24/04/2013,1010,1019,966.5,985,8.59E+06,963.25
25/04/2013,977.5,994.5,972.5,988.5,4.93E+06,966.67
26/04/2013,987.5,999.05,973,979,3.35E+06,957.38
27/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
28/04/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
29/04/2013,978.5,985.96,969.5,979,2.95E+06,957.38
30/04/2013,985,1000.3,982.03,996,6.80E+06,974.01
01/05/2013,999,1031,995.5,1026,5.24E+06,1003.3
02/05/2013,1020,1022,1005.2,1013,6.09E+06,990.63
03/05/2013,1016,1033.3,1010,1032,4.98E+06,1009.2
04/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
05/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
06/05/2013,1032,1032,1032,1032,0,1009.2
07/05/2013,1037,1046,1031,1046,4.11E+06,1022.9
08/05/2013,1050,1068.4,1046,1068,3.46E+06,1044.4
09/05/2013,1062,1070,1060,1069,2.60E+06,1045.4
10/05/2013,1067,1075,1062,1072,2.21E+06,1048.3
11/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
12/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
13/05/2013,1071,1076,1063,1068,1.45E+06,1044.4
14/05/2013,1074,1079,1065,1076,1.69E+06,1052.2
15/05/2013,1075,1099.6,1074,1097,3.14E+06,1072.8
16/05/2013,1098,1108,1090.2,1096,3.32E+06,1071.8
17/05/2013,1091,1098,1084.8,1088,2.27E+06,1064
18/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
19/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
20/05/2013,1094,1100.2,1088,1096,2.97E+06,1071.8
21/05/2013,1092,1111,1052.5,1065,7.51E+06,1041.5
22/05/2013,1040,1051,1017.3,1050,8.14E+06,1026.8
23/05/2013,980,1014.3,975,995,9.14E+06,973.03
24/05/2013,1001,1006,978.5,985.5,4.99E+06,963.74
25/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
26/05/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
27/05/2013,985.5,985.5,985.5,985.5,0,963.74
28/05/2013,989,1020,989,1010,3.62E+06,987.7
29/05/2013,998,998.76,972,977.5,4.88E+06,955.91
30/05/2013,975,1005,973.5,995,2.95E+06,973.03
31/05/2013,994.5,996,981.5,988,3.84E+06,966.18
01/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
02/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
03/06/2013,970,974.15,915,919,8.24E+06,898.71
04/06/2013,926.5,942,900.5,924,8.77E+06,903.6
05/06/2013,919,937.5,891.5,893,7.59E+06,873.28
06/06/2013,884,903.5,876.5,878.5,7.69E+06,859.1
07/06/2013,878.5,880.5,861.5,864.5,7.69E+06,845.41
08/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
09/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
10/06/2013,860,873,856,869,4.61E+06,849.81
11/06/2013,866,889,853.61,866,5.59E+06,846.88
12/06/2013,860,869.5,857,858,4.69E+06,839.05
13/06/2013,845,860,838.5,857,4.09E+06,838.08
14/06/2013,869.5,875,859.5,862,3.29E+06,842.96
15/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
16/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
17/06/2013,865,868.5,814,830,8.59E+06,811.67
18/06/2013,827,855.5,823.34,846,8.48E+06,827.32
19/06/2013,844,846.15,833,835.5,5.21E+06,817.05
20/06/2013,803.5,814,792.56,799,1.03E+07,781.36
21/06/2013,795,808,772.35,772.5,9.19E+06,755.44
22/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
23/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
24/06/2013,759.5,771,752,758.5,5.49E+06,741.75
25/06/2013,790,796.5,776,786,6.09E+06,768.64
26/06/2013,789,804,782.9,795,1.13E+07,777.44
27/06/2013,796,815.5,787.07,803.5,7.15E+06,785.76
28/06/2013,805,813.5,788,795,3.96E+06,777.44
29/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
30/06/2013,975.97,987.62,963.98,975.25,4.06E+06,960.75
01/07/2013,801.5,806,789.74,805.5,4.35E+06,787.71
