Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,362.8,362.88,359.9,360,4.40E+06,315.74
19/02/2013,359.9,370.82,359.36,369.2,9.63E+06,323.81
20/02/2013,363,363.8,348.8,354,3.07E+07,310.48
21/02/2013,358,358,351.6,355.9,1.45E+07,312.15
22/02/2013,356.7,360.5,355.6,360,9.10E+06,315.74
23/02/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
24/02/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
25/02/2013,361.9,365.72,356.1,358.9,8.76E+06,314.78
26/02/2013,350.3,352.82,347.69,348.7,1.08E+07,305.83
27/02/2013,350.3,354.13,347.39,352.6,6.71E+06,309.25
28/02/2013,355,358.5,352.5,356.8,1.01E+07,312.94
01/03/2013,356.7,358.54,350.17,356.5,8.01E+06,312.67
02/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
03/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
04/03/2013,352.1,352.1,344.9,348.3,1.43E+07,305.48
05/03/2013,351.3,358.1,350.83,356.7,9.93E+06,312.85
06/03/2013,356.3,363.59,355.38,359.8,1.61E+07,315.57
07/03/2013,303,320.56,295,314.8,9.50E+07,276.1
08/03/2013,318,325.98,312.29,324.8,3.09E+07,284.87
09/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
10/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
11/03/2013,324.4,324.4,320.2,322.2,1.46E+07,282.59
12/03/2013,321.1,325.97,319.08,324,1.56E+07,284.17
13/03/2013,322.7,324.96,321.6,324.7,1.11E+07,284.78
14/03/2013,326.5,328.41,323,328.4,1.11E+07,288.03
15/03/2013,329.5,332.99,326.2,326.2,1.85E+07,286.1
16/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
17/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
18/03/2013,320,326,316.7,323.3,1.38E+07,283.56
19/03/2013,323.3,325.61,320.94,323.2,1.15E+07,283.47
20/03/2013,316,320.95,311.32,315,1.51E+07,284.19
21/03/2013,316.1,316.1,309.09,309.9,1.10E+07,279.59
22/03/2013,309,311.03,300.6,309.1,1.01E+07,278.87
23/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
24/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
25/03/2013,310.5,312.5,300.6,301,1.43E+07,271.56
26/03/2013,302.5,306.41,300.63,303.7,1.09E+07,273.99
27/03/2013,305.6,305.6,294,297.5,1.43E+07,268.4
28/03/2013,298.4,301.29,295.62,296.2,1.05E+07,267.23
29/03/2013,296.2,296.2,296.2,296.2,0,267.23
30/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
31/03/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
01/04/2013,296.2,296.2,296.2,296.2,0,267.23
02/04/2013,296,301.1,294,301,1.33E+07,271.56
03/04/2013,300.4,301.77,298.24,298.4,1.05E+07,269.21
04/04/2013,299,300.6,294.07,294.2,9.93E+06,265.42
05/04/2013,295,298.3,293,295.7,1.19E+07,266.78
06/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
07/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
08/04/2013,297.7,300.59,294.9,296.7,2.09E+07,267.68
09/04/2013,298.1,302.77,298.1,301.5,1.98E+07,272.01
10/04/2013,302.2,313,301.7,311,1.23E+07,280.58
11/04/2013,310.1,310.9,304.6,306.5,1.32E+07,276.52
12/04/2013,304.5,304.5,300.7,302.7,8.08E+06,273.09
13/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
14/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
15/04/2013,302.9,304.41,297.2,300.4,9.01E+06,271.02
16/04/2013,298.2,302,295.7,298.2,6.89E+06,269.03
17/04/2013,301.6,301.93,292.5,295,9.29E+06,266.14
18/04/2013,296.3,298.8,292.6,294.1,6.80E+06,265.33
19/04/2013,294.9,297.4,292.9,295.6,7.66E+06,266.69
20/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
21/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
22/04/2013,298.1,300.2,294.8,295.3,6.25E+06,266.42
23/04/2013,295.8,303.73,293.91,303.3,1.31E+07,273.63
24/04/2013,303.6,308.18,302.3,306.8,9.88E+06,276.79
25/04/2013,307.2,312.4,305.4,311.9,9.85E+06,281.39
26/04/2013,310.7,311.4,307.4,311.1,4.91E+06,280.67
27/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
28/04/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
29/04/2013,312.6,315,306.4,308.4,8.03E+06,278.24
30/04/2013,310,312,303.3,305.1,1.13E+07,275.26
01/05/2013,303.6,310.7,303.6,310.1,4.10E+06,279.77
02/05/2013,309,314.4,308.3,310.8,8.83E+06,280.4
03/05/2013,311.5,319.2,310.1,316.4,1.15E+07,285.45
04/05/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
05/05/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
06/05/2013,316.4,316.4,316.4,316.4,0,285.45
07/05/2013,316.1,323.74,315.6,320.8,1.21E+07,289.42
08/05/2013,319.3,325.2,319.3,323.9,7.22E+06,292.22
09/05/2013,323.5,326.64,321.5,322.9,6.24E+06,291.32
10/05/2013,322.9,326.94,321.4,323.4,5.51E+06,291.77
11/05/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
12/05/2013,465.77,470.63,460.88,465.56,8.36E+06,439.54
13/05/2013,322.9,324.5,317,319.9,7.47E+06,288.61
14/05/2013,321.7,324.24,319.4,323.6,7.48E+06,291.95
