Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,2931.5,2950.5,2904.8,2912,3.46E+06,2544.7
19/02/2013,2995,2995,2895,2948.5,2.14E+06,2576.6
20/02/2013,2955,2968.5,2938,2955,2.36E+06,2582.3
21/02/2013,2953.5,2957,2903.5,2910,3.18E+06,2543
22/02/2013,2911.5,2954,2909,2952.5,2.66E+06,2580.1
23/02/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
24/02/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
25/02/2013,2967,2994,2960.7,2978,3.74E+06,2602.4
26/02/2013,2955.5,2963.5,2932,2947.5,3.07E+06,2575.8
27/02/2013,2961.5,2997,2946.9,2990.5,2.15E+06,2613.3
28/02/2013,3005,3011,2981.2,2995.5,2.43E+06,2617.7
01/03/2013,2992.5,3028,2985.5,3012.5,1.98E+06,2632.6
02/03/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
03/03/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
04/03/2013,3014.5,3024.5,2995,3008,1.82E+06,2628.6
05/03/2013,3018,3052.6,3010,3042.5,1.67E+06,2658.8
06/03/2013,3039.5,3051.5,3026.5,3031.5,1.55E+06,2649.2
07/03/2013,3036.5,3163.8,3025,3032,1.74E+06,2649.6
08/03/2013,3046.5,3054,3014,3040,2.17E+06,2656.6
09/03/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
10/03/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
11/03/2013,3049.5,3051.5,3026,3039,1.89E+06,2655.7
12/03/2013,3042.5,3082.5,3030,3070,2.19E+06,2682.8
13/03/2013,3074.5,3074.5,3036.8,3066,1.77E+06,2679.3
14/03/2013,3084,3084,3044,3074,3.39E+06,2686.3
15/03/2013,3074.5,3083,3050.9,3069.5,5.70E+06,2682.4
16/03/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
17/03/2013,4025.9,4066,3983.7,4026.6,2.45E+06,3731.4
18/03/2013,3032,3069.2,3005.5,3049.5,2.33E+06,2664.9
19/03/2013,3048,3081.5,3039.5,3064.5,2.21E+06,2678
20/03/2013,3060.5,3087,3040,3040,2.79E+06,2656.6
21/03/2013,3030,3149.5,3020.7,3133,4.96E+06,2737.9
