Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,328.5,328.9,325.2,327.4,6.21E+06,284.06
19/02/2013,326.7,330.73,324.7,330,5.76E+06,286.32
20/02/2013,330.7,334.13,328.8,332.2,4.71E+06,288.23
21/02/2013,343,352.7,341,345.9,1.65E+07,300.11
22/02/2013,346.1,530.4,346,349.8,6.10E+06,303.5
23/02/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
24/02/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
25/02/2013,352.5,354.9,346.5,347.8,7.39E+06,301.76
26/02/2013,343.9,345.5,342.5,344.9,7.06E+06,299.25
27/02/2013,346.2,350.5,345.23,350.1,4.84E+06,303.76
28/02/2013,352.3,356,351.9,355.1,8.59E+06,308.1
01/03/2013,354.5,359,350.5,354.3,5.74E+06,307.4
02/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
03/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
04/03/2013,354.7,358.7,354.04,357.7,6.44E+06,310.35
05/03/2013,359.8,366.2,359.34,363.9,7.94E+06,315.73
06/03/2013,364.3,365.8,357,358,6.34E+06,310.61
07/03/2013,357.8,359.5,355.9,357,7.43E+06,309.74
08/03/2013,360.1,368.9,358.1,367.1,9.51E+06,318.51
09/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
10/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
11/03/2013,367,369.2,360,369.2,7.32E+06,320.33
12/03/2013,368.9,378.02,367,377.6,8.13E+06,327.62
13/03/2013,377.7,379.21,372.9,379.1,7.68E+06,328.92
14/03/2013,380.8,385.3,380,383.3,8.75E+06,332.56
15/03/2013,384.3,385,381.2,383.1,1.06E+07,332.39
16/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
17/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
18/03/2013,377.6,384.1,376.38,383.9,6.81E+06,333.08
19/03/2013,384.6,395.1,382.3,393.4,1.01E+07,341.32
20/03/2013,395,395.71,390,393.4,8.85E+06,341.32
21/03/2013,392.8,393.6,382.99,384.7,7.80E+06,333.78
22/03/2013,383.7,393,383.1,388.9,6.73E+06,337.42
23/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
24/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
25/03/2013,390.3,391.91,384.6,385.3,6.76E+06,334.3
26/03/2013,386.9,387.9,383.8,387.9,4.51E+06,336.55
27/03/2013,387.3,388.94,380.6,383.8,5.19E+06,333
28/03/2013,383.2,395,381.9,394.3,7.10E+06,342.11
29/03/2013,394.3,394.3,394.3,394.3,0,342.11
30/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
31/03/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
01/04/2013,394.3,394.3,394.3,394.3,0,342.11
02/04/2013,396.3,397.9,393.4,396,5.42E+06,343.58
03/04/2013,394.2,396.07,390,390,4.33E+06,338.38
04/04/2013,389.9,391.3,381.7,382.9,5.51E+06,332.21
05/04/2013,383.4,387.3,383,386.3,7.64E+06,335.17
06/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
07/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
08/04/2013,386.7,389.2,385,388.4,5.00E+06,336.99
09/04/2013,389.7,390.5,383.3,385.6,6.47E+06,334.56
10/04/2013,386.5,394.37,385.39,393,4.41E+06,340.98
11/04/2013,391.6,399.7,391.22,397.3,5.63E+06,344.71
12/04/2013,388.9,398.2,384.1,396.7,8.75E+06,344.19
13/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
14/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
15/04/2013,395.8,399,392.8,396.2,7.11E+06,343.75
16/04/2013,393.2,395,388.8,390.1,4.75E+06,338.46
17/04/2013,380,389.1,373.7,376.1,1.29E+07,336.4
18/04/2013,377.9,391.8,376.8,379.2,6.17E+06,339.18
19/04/2013,379.3,391.3,373.7,380.2,8.25E+06,340.07
20/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
21/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
22/04/2013,380.8,382.2,373,373.3,4.99E+06,333.9
23/04/2013,374.9,382.7,373.26,382.3,9.15E+06,341.95
24/04/2013,374.7,384.1,372.8,382.6,7.39E+06,342.22
25/04/2013,382.2,387.3,382.2,382.4,7.42E+06,342.04
26/04/2013,381.7,384,374.96,378.9,5.62E+06,338.91
27/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
28/04/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
29/04/2013,378.1,380.5,374.6,379,4.17E+06,339
30/04/2013,378.1,380.1,374,375.5,1.37E+07,335.87
01/05/2013,375.5,381.1,373.1,378.2,3.40E+06,338.28
02/05/2013,378.1,378.6,372.4,375.6,7.00E+06,335.96
03/05/2013,376.4,377,372.9,374.9,8.14E+06,335.33
04/05/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
05/05/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
06/05/2013,374.9,374.9,374.9,374.9,0,335.33
07/05/2013,376.1,376.8,371.5,374.7,5.83E+06,335.15
08/05/2013,377.5,383.2,376.88,382.1,8.18E+06,341.77
09/05/2013,380.8,383.5,379,381.3,5.46E+06,341.06
10/05/2013,376.1,381.9,374.9,379.7,6.44E+06,339.63
11/05/2013,449.28,453.48,445.16,449.16,6.74E+06,423.59
