Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,927.55,927.55,921.38,922.26,3.04E+05,858.53
19/02/2013,922.26,931.08,920.5,926.67,5.56E+05,862.63
20/02/2013,928.43,938.13,924.9,938.13,5.86E+05,873.3
21/02/2013,935.49,935.49,917.85,930.2,8.80E+05,865.91
22/02/2013,934.6,945.18,931.96,940.78,6.26E+05,875.76
23/02/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
24/02/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
25/02/2013,940.78,951.36,935.49,939.89,6.62E+05,874.94
26/02/2013,931.96,939.89,926.67,931.08,7.98E+05,866.73
27/02/2013,931.08,944.87,927.55,942.54,7.44E+05,877.4
28/02/2013,942.54,957.53,941.66,946.07,1.12E+06,880.69
01/03/2013,944.3,971.64,943.42,968.11,9.01E+05,901.21
02/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
03/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
04/03/2013,967.23,969.87,948.71,951.36,7.25E+05,885.61
05/03/2013,954,974.28,954,970.75,8.05E+05,903.67
06/03/2013,973.4,976.04,966.98,971.64,4.96E+05,904.49
07/03/2013,975.16,981.33,969.87,973.4,6.04E+05,906.13
08/03/2013,974.28,975.76,941.66,951.36,1.16E+06,885.61
09/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
10/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
11/03/2013,958.41,962.82,946.07,961.94,9.73E+05,895.46
12/03/2013,958.41,980.45,955.1,975.16,7.93E+05,907.77
13/03/2013,971.64,975.16,962.82,974.28,7.21E+05,906.95
14/03/2013,975.16,981.33,959.29,965.46,1.11E+06,898.75
15/03/2013,968.11,969.87,944.3,944.3,2.40E+06,879.05
16/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
17/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
18/03/2013,937.25,965.46,935.49,961.05,8.37E+05,894.64
19/03/2013,959.29,966.35,950.48,954,7.14E+05,888.08
20/03/2013,960.17,970.75,956.65,969.87,8.74E+05,902.85
21/03/2013,965.46,968.99,940.78,946.07,8.30E+05,880.69
22/03/2013,940.78,957.53,939.89,953.12,7.45E+05,887.25
23/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
24/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
25/03/2013,954.88,975.16,948.71,952.24,7.13E+05,886.43
26/03/2013,954.88,960.17,948.71,954,6.43E+05,888.08
27/03/2013,956.65,957.53,943.42,952.24,1.02E+06,886.43
28/03/2013,953.12,960.17,946.07,959.29,8.48E+05,893
29/03/2013,959.29,959.29,959.29,959.29,0,893
30/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
31/03/2013,1064.1,1073.9,1053.9,1063.4,1.14E+06,1028.6
01/04/2013,959.29,959.29,959.29,959.29,0,893
