Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,296.8,297.46,294.26,295.78,4.25E+07,273.87
19/02/2013,294.68,300.77,293.43,300.22,4.15E+07,277.98
20/02/2013,296.01,300.22,293.75,295.55,4.72E+07,277.25
21/02/2013,293.52,296.38,282.95,283.08,6.45E+07,265.55
22/02/2013,283.73,288.95,282.67,283.59,4.27E+07,266.03
23/02/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
24/02/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
25/02/2013,286.36,294.43,285.48,287.88,1.07E+08,270.06
26/02/2013,271.26,291.58,267.89,274.35,1.14E+08,257.36
27/02/2013,279.06,280.58,273.01,278.79,5.74E+07,261.52
28/02/2013,281.05,285.81,279.43,283.59,5.20E+07,266.03
01/03/2013,283.13,284.65,269.46,280.31,5.67E+07,262.95
02/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
03/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
04/03/2013,278.79,279.66,274.95,277.49,3.17E+07,260.31
05/03/2013,279.94,285.34,279.11,284.01,3.80E+07,266.42
06/03/2013,283.13,286.22,278.69,279.11,3.61E+07,261.82
07/03/2013,281.46,287.61,280.85,285.9,5.45E+07,268.19
08/03/2013,289.36,295.55,287.79,294.31,5.68E+07,276.08
09/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
10/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
11/03/2013,292.74,293.43,286.18,287.75,4.19E+07,269.93
12/03/2013,288.58,293.65,287.59,289.27,3.48E+07,271.36
13/03/2013,287.52,290.82,284.56,290.7,3.05E+07,272.7
14/03/2013,293.06,294.44,288.81,293.66,4.56E+07,275.47
15/03/2013,293.33,301.54,293.33,295.64,1.37E+08,277.34
16/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
17/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
18/03/2013,286.73,288.09,280.36,282.62,7.85E+07,265.12
19/03/2013,281.97,284.01,272.78,274.81,5.83E+07,257.8
20/03/2013,276.52,278.3,270.59,272.69,6.54E+07,255.8
21/03/2013,272.51,275.07,270.67,272.13,4.17E+07,255.28
22/03/2013,272.51,274.99,269.3,269.73,6.42E+07,253.03
23/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
24/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
25/03/2013,274.17,277.91,256.45,260.59,8.19E+07,244.45
26/03/2013,262.2,266.37,255.88,265.3,5.98E+07,248.87
27/03/2013,267.06,273.93,261.93,265.95,5.42E+07,249.48
28/03/2013,266.08,272.23,263.64,268.95,3.89E+07,252.29
29/03/2013,268.95,268.95,268.95,268.95,0,252.29
30/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
31/03/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
01/04/2013,268.95,268.95,268.95,268.95,0,252.29
02/04/2013,269.18,276.09,267.65,274.81,4.56E+07,257.8
03/04/2013,274.17,275.06,266.32,267.24,3.17E+07,250.69
04/04/2013,267.75,271.03,263.18,263.18,8.88E+07,246.88
05/04/2013,263.22,269.16,252.5,258.65,5.10E+07,242.63
06/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
07/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
08/04/2013,260.82,261.24,254.95,256.06,4.41E+07,240.21
09/04/2013,258.83,266.04,258.83,264.19,5.63E+07,247.83
10/04/2013,266.13,278.65,264.98,275.51,5.50E+07,258.44
11/04/2013,275.46,283.98,273.24,280.73,5.25E+07,263.34
12/04/2013,279.06,280.31,273.93,276.48,2.88E+07,259.36
13/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
14/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
15/04/2013,275.37,277.12,267.79,274.12,2.97E+07,257.14
16/04/2013,270.8,276.26,268.25,272.32,2.99E+07,255.46
17/04/2013,276.11,277.08,264.84,268.16,4.56E+07,251.56
18/04/2013,269.73,270.29,259.43,262.11,4.51E+07,245.88
19/04/2013,263.41,265.83,261.19,264.51,3.27E+07,248.13
20/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
21/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
22/04/2013,267.79,274.17,266.78,267.42,4.70E+07,250.86
23/04/2013,264.79,277.54,264.79,275.55,5.27E+07,258.49
24/04/2013,271.3,291.9,269.23,272.09,9.05E+07,255.24
25/04/2013,272.09,278.08,268.3,271.3,5.03E+07,254.5
26/04/2013,270.43,273.43,265.67,268.53,5.86E+07,251.9
27/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
28/04/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
29/04/2013,269.23,272.74,266.08,267.79,4.53E+07,251.21
30/04/2013,265.58,271.58,262.9,264.24,6.90E+07,247.87
01/05/2013,267.84,271.12,264.42,266.69,1.75E+07,251.23
02/05/2013,266.04,269.36,261.79,266.87,3.51E+07,251.4
03/05/2013,267.1,276.15,266,273.52,7.11E+07,257.67
04/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
05/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
06/05/2013,273.52,273.52,273.52,273.52,0,257.67
07/05/2013,280.26,290.06,276.29,283.96,9.06E+07,267.5
08/05/2013,282.94,287.75,282.39,285.25,4.01E+07,268.72
09/05/2013,286.36,290.53,284.28,286.36,4.14E+07,269.76
10/05/2013,287.29,291.53,286.08,290.43,7.45E+07,273.59
11/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
12/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
13/05/2013,290.06,290.47,284.65,288.72,3.19E+07,271.98
14/05/2013,290.06,290.1,284.98,290.1,3.36E+07,273.29
15/05/2013,290.52,296.48,281.74,294.35,4.90E+07,277.29
16/05/2013,294.17,299.76,293.61,295.97,4.16E+07,278.81
17/05/2013,295.55,304.84,294.68,301.88,6.38E+07,284.38
18/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
19/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
20/05/2013,301.83,305.48,298.28,301.33,4.87E+07,283.86
21/05/2013,299.8,301.23,295.63,298.65,4.30E+07,281.33
22/05/2013,300.22,312.41,298.42,308.39,8.37E+07,290.51
23/05/2013,295.69,299.32,293.29,296.94,7.30E+07,279.73
24/05/2013,299.71,300.63,292.09,292.83,5.25E+07,275.85
25/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
26/05/2013,251.43,254.42,248.18,251.04,4.32E+07,242.96
27/05/2013,292.83,292.83,292.83,292.83,0,275.85
28/05/2013,296.29,305.01,295.92,300.31,4.14E+07,282.9
29/05/2013,298.74,299.87,294.72,295.6,3.27E+07,278.46
30/05/2013,294.35,301.6,293.29,297.95,3.34E+07,280.68
