Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,3337,3359,3317.7,3340,1.10E+06,2954.2
19/02/2013,3339,3391,3337.5,3390,1.80E+06,2998.4
20/02/2013,3397,3474,3396.5,3474,2.37E+06,3072.7
21/02/2013,3468,3470.5,3405.5,3439,2.26E+06,3041.8
22/02/2013,3437.5,3458,3430,3453,1.40E+06,3054.1
23/02/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
24/02/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
25/02/2013,3451.5,3465,3417.5,3427.5,4.13E+06,3031.6
26/02/2013,3411.5,3446,3399,3422,2.26E+06,3026.7
27/02/2013,3423,3427.5,3396.5,3416,2.05E+06,3021.4
28/02/2013,3447.5,3457.5,3407,3434.5,4.28E+06,3037.8
01/03/2013,3447.5,3516,3430,3508,3.34E+06,3102.8
02/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
03/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
04/03/2013,3518,3580.4,3509,3564,2.78E+06,3152.3
05/03/2013,3572.5,3580,3539.5,3566,2.24E+06,3154.1
06/03/2013,3554.5,3559,3510.5,3519,3.01E+06,3112.5
07/03/2013,3524.5,3535,3502.5,3517,2.91E+06,3110.7
08/03/2013,3537,3580,3531.5,3562,2.49E+06,3150.5
09/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
10/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
11/03/2013,3559,3631,3478,3628,2.36E+06,3208.9
12/03/2013,3629.5,3639.5,3583.5,3613,2.27E+06,3195.7
13/03/2013,3514,3539.1,3487.5,3491,3.05E+06,3169.1
14/03/2013,3495.5,3501.5,3472,3472.5,4.88E+06,3152.3
15/03/2013,3478,3502,3464,3494.5,4.68E+06,3172.2
16/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
17/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
18/03/2013,3460,3491.2,3460,3482.5,2.32E+06,3161.3
19/03/2013,3473,3516.6,3464.5,3506.5,1.99E+06,3183.1
20/03/2013,3532,3543,3504,3514.5,2.68E+06,3190.4
21/03/2013,3516.5,3516.5,3468.5,3492,2.48E+06,3170
22/03/2013,3483,3525,3474,3488,1.92E+06,3166.3
23/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
24/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
25/03/2013,3494.5,3522.5,3468,3509,2.14E+06,3185.4
26/03/2013,3521,3527,3483.5,3496,2.63E+06,3173.6
27/03/2013,3512,3524.5,3487.5,3513.5,2.20E+06,3189.5
28/03/2013,3526,3573.5,3497,3527,2.67E+06,3201.7
29/03/2013,3527,3527,3527,3527,0,3201.7
30/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
31/03/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
01/04/2013,3527,3527,3527,3527,0,3201.7
02/04/2013,3541,3599.5,3532.5,3590,2.23E+06,3258.9
03/04/2013,3600,3606,3557,3562,2.37E+06,3233.5
04/04/2013,3563.5,3586,3541.5,3549.5,2.01E+06,3222.2
05/04/2013,3560.5,3564,3490,3510,2.45E+06,3186.3
06/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
07/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
08/04/2013,3513.5,3551.1,3501.6,3544,3.32E+06,3217.2
09/04/2013,3562,3562,3519,3530.5,1.78E+06,3204.9
10/04/2013,3549.5,3585.5,3530.6,3580,2.34E+06,3249.9
11/04/2013,3592.5,3618,3571,3600.5,2.21E+06,3268.5
12/04/2013,3587.5,3611.5,3583,3590,2.02E+06,3258.9
13/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
14/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
15/04/2013,3581.5,3615.5,3566.5,3594.5,2.31E+06,3263
16/04/2013,3576.5,3584.5,3531,3531,4.86E+06,3205.4
17/04/2013,3556.5,3567.5,3533.5,3537.5,3.08E+06,3211.3
18/04/2013,3559,3564,3426,3479.5,4.16E+06,3158.6
19/04/2013,3515,3528,3478,3526.5,2.59E+06,3201.3
20/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
21/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
22/04/2013,3544,3547.5,3488.9,3503,2.31E+06,3180
23/04/2013,3518,3572.6,3501.5,3557.5,2.94E+06,3229.4
24/04/2013,3563,3563,3521.8,3548,2.48E+06,3220.8
25/04/2013,3625,3660,3584.5,3591,4.54E+06,3259.8
26/04/2013,3600.5,3607,3573.5,3596.5,1.90E+06,3264.8
27/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
28/04/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
29/04/2013,3600,3600.5,3579,3591,3.20E+06,3259.8
30/04/2013,3610.5,3610.5,3552.6,3566,3.26E+06,3237.1
01/05/2013,3585,3621.1,3566.5,3604.5,1.55E+06,3272.1
02/05/2013,3576.5,3643,3576.5,3634,2.45E+06,3298.9
03/05/2013,3625.5,3644,3601,3628.5,1.74E+06,3293.9
04/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
05/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
06/05/2013,3628.5,3628.5,3628.5,3628.5,0,3293.9
07/05/2013,3657.5,3657.5,3596,3633,2.09E+06,3298
08/05/2013,3646,3688.5,3625.5,3674,2.38E+06,3335.2
09/05/2013,3669.5,3702,3656,3684.5,1.82E+06,3344.7
10/05/2013,3687.5,3737.5,3687.5,3725,2.48E+06,3381.5
11/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
12/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
13/05/2013,3724.5,3750.5,3709.5,3740,1.97E+06,3395.1
14/05/2013,3738,3758.5,3728,3746.5,1.95E+06,3401
15/05/2013,3763.5,3779.5,3733.5,3757,1.76E+06,3410.5
16/05/2013,3752,3767.5,3736.5,3744,1.87E+06,3398.7
17/05/2013,3739,3766,3700,3762.5,2.20E+06,3415.5
18/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
19/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
20/05/2013,3776,3790,3732.5,3772,1.39E+06,3424.1
21/05/2013,3778,3784,3738.5,3758.5,2.15E+06,3411.9
22/05/2013,3752.5,3770,3725,3752,3.17E+06,3406
23/05/2013,3737.5,3762,3690,3715,3.38E+06,3372.4
24/05/2013,3719.5,3742.5,3676,3706,1.69E+06,3364.2
25/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
26/05/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
27/05/2013,3706,3706,3706,3706,0,3364.2
28/05/2013,3739,3807,3736.5,3784,2.89E+06,3435
29/05/2013,3768.5,3807.5,3651.5,3667,2.81E+06,3328.8
30/05/2013,3664.5,3686,3628,3660.5,2.02E+06,3322.9
31/05/2013,3659,3675.8,3621.9,3623,3.86E+06,3288.9
01/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
02/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
03/06/2013,3608,3635.5,3577,3603.5,2.18E+06,3271.2
04/06/2013,3630,3654,3603.5,3634,2.13E+06,3298.9
05/06/2013,3620,3638,3556.5,3556.5,2.32E+06,3228.5
06/06/2013,3560,3576.5,3498,3498,2.11E+06,3175.4
07/06/2013,3505,3537.5,3460.5,3527.5,3.54E+06,3202.2
08/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
09/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
10/06/2013,3523,3539,3515,3520,1.73E+06,3195.4
11/06/2013,3513.5,3522.5,3455,3508.5,2.64E+06,3184.9
12/06/2013,3505.5,3538.5,3498,3500.5,1.90E+06,3177.7
13/06/2013,3463,3492.5,3447,3483,2.68E+06,3161.8
14/06/2013,3507,3507,3441,3469,2.29E+06,3149.1
15/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
16/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
17/06/2013,3487,3519,3467.5,3467.5,2.11E+06,3147.7
18/06/2013,3470.5,3501,3466.5,3476.5,2.16E+06,3155.9
19/06/2013,3489,3502.5,3443,3486.5,1.91E+06,3165
20/06/2013,3425.5,3449.5,3330,3345.5,4.91E+06,3037
21/06/2013,3355,3399.5,3327.5,3354,8.31E+06,3044.7
22/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
23/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
24/06/2013,3345,3372.5,3288,3293,3.20E+06,2989.3
25/06/2013,3319.5,3339.5,3287,3325,4.40E+06,3018.4
26/06/2013,3331.5,3394.5,3326,3394.5,3.27E+06,3081.5
27/06/2013,3414.5,3458,3388,3439,3.28E+06,3121.9
28/06/2013,3443,3455.5,3367.5,3367.5,4.12E+06,3056.9
29/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
30/06/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
01/07/2013,3384.5,3448.5,3381.5,3447,2.45E+06,3129.1
02/07/2013,3437,3459,3404.5,3435.5,1.86E+06,3118.7
03/07/2013,3395.5,3417,3353.5,3382.5,2.30E+06,3070.6
04/07/2013,3405.5,3519.5,3405.5,3506.5,2.76E+06,3183.1
05/07/2013,3505.5,3563,3375.5,3480,3.40E+06,3159.1
06/07/2013,3516.7,3541.4,3485.9,3514.1,2.60E+06,3348
