Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,233.1,235.5,228.6,230.8,2.68E+06,217.49
19/02/2013,231,236.5,229.59,233.8,1.76E+06,220.32
20/02/2013,233.9,243.1,233.9,239,7.60E+06,225.22
21/02/2013,237,237.7,230.9,234,3.77E+06,220.51
22/02/2013,234.9,240.9,233.7,239.4,3.47E+06,225.59
23/02/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
24/02/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
25/02/2013,238.2,242.33,235,238,3.41E+06,224.27
26/02/2013,233.7,237.25,230.7,235.5,4.42E+06,221.92
27/02/2013,237.7,241.3,230.6,235.1,3.81E+06,221.54
28/02/2013,236.6,243.5,235.9,240.1,4.55E+06,226.25
01/03/2013,240,244.63,239.1,240.8,3.92E+06,226.91
02/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
03/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
04/03/2013,237.9,240.96,234.1,235.3,3.43E+06,221.73
05/03/2013,236.4,243.7,236.4,242.6,3.12E+06,228.61
06/03/2013,243.6,246.1,241.1,244.9,3.78E+06,230.78
07/03/2013,244.9,245.7,243.2,243.9,1.97E+06,229.83
08/03/2013,245.1,246.71,239.76,241.6,1.94E+06,227.67
09/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
10/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
11/03/2013,239.3,241.5,235.46,237.6,2.92E+06,223.9
12/03/2013,237.3,241.16,236.9,237.5,3.57E+06,223.8
13/03/2013,237.4,237.8,233.85,237.2,2.21E+06,223.52
14/03/2013,237.9,240,235.5,239.4,2.44E+06,225.59
15/03/2013,240,242.5,235,235,4.49E+06,221.45
16/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
17/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
18/03/2013,231.6,240.41,230.2,240,3.93E+06,226.16
19/03/2013,239.2,242.2,238.6,239.8,3.23E+06,225.97
20/03/2013,239.9,261.93,239.4,255.6,1.09E+07,240.86
21/03/2013,257,259.82,254.1,258.9,9.90E+06,243.97
22/03/2013,257.2,259.8,257.1,258,3.53E+06,243.12
23/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
24/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
25/03/2013,259.8,267.99,257.68,264.5,5.76E+06,249.25
26/03/2013,264.6,271.7,264,268.8,5.54E+06,253.3
27/03/2013,268.9,272.4,264.73,267.6,3.83E+06,252.17
28/03/2013,270.9,277.3,267,274.1,5.00E+06,258.29
29/03/2013,274.1,274.1,274.1,274.1,0,258.29
30/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
31/03/2013,437.68,446.65,431.88,437.78,4.01E+06,424.35
01/04/2013,274.1,274.1,274.1,274.1,0,258.29
02/04/2013,273.3,282.2,273,279.7,3.89E+06,263.57
03/04/2013,280.5,281.8,277.43,280.3,2.97E+06,264.13
