Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,584,584,579.5,582,2.33E+06,507.14
19/02/2013,582,588,580.5,585.5,2.61E+06,510.19
20/02/2013,585.5,588,581.5,582.5,1.98E+06,507.58
21/02/2013,579,581.56,573.5,575,2.25E+06,501.05
22/02/2013,577.5,580.5,576,579,1.69E+06,504.53
23/02/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
24/02/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
25/02/2013,575.5,577.66,563.5,567,3.81E+06,494.07
26/02/2013,560,563,557,561,3.24E+06,488.85
27/02/2013,563.5,563.5,556,560,4.17E+06,487.97
28/02/2013,563.5,569,560.91,567.5,5.23E+06,494.51
01/03/2013,566,575.5,566,574,2.13E+06,500.17
02/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
03/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
04/03/2013,573.5,578,570,572.5,1.67E+06,498.87
05/03/2013,574.5,584,574.5,583.5,1.90E+06,508.45
06/03/2013,582.5,585,575,577.5,1.84E+06,503.22
07/03/2013,578,585,578,582.5,1.89E+06,507.58
08/03/2013,584.5,586.5,582,584.5,1.42E+06,509.32
09/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
10/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
11/03/2013,585.5,585.5,578.5,580.5,1.66E+06,505.84
12/03/2013,567.5,567.5,553.5,555,1.54E+07,483.62
13/03/2013,555.5,559,549,559,6.69E+06,487.1
14/03/2013,558,560.5,557,558.5,4.61E+06,486.67
15/03/2013,558,561,554.5,555,7.68E+06,483.62
16/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
17/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
18/03/2013,544.5,553,543.5,549.5,7.65E+06,478.82
19/03/2013,550,551,544,545,4.35E+06,474.9
20/03/2013,551,554,547,552.5,4.07E+06,481.44
21/03/2013,553,553.5,548,551.5,4.42E+06,480.57
22/03/2013,551,556.93,551,554,3.13E+06,482.75
23/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
24/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
25/03/2013,554,555.18,542,547,3.40E+06,476.65
26/03/2013,550,552.77,547,549.5,6.49E+06,478.82
27/03/2013,550,550,536,540,3.23E+06,477.72
28/03/2013,541.5,545,541,543.5,4.75E+06,480.82
29/03/2013,543.5,543.5,543.5,543.5,0,480.82
30/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
31/03/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
01/04/2013,543.5,543.5,543.5,543.5,0,480.82
02/04/2013,554.5,554.5,545.5,550,3.67E+06,486.57
03/04/2013,551,551,546,548,3.06E+06,484.8
04/04/2013,550,556.5,549.5,554.5,4.44E+06,490.55
05/04/2013,556.5,558,543,544,4.46E+06,481.26
06/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
07/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
08/04/2013,548,549.5,544.5,549.5,2.52E+06,486.12
09/04/2013,552.5,557,549.5,556.5,3.26E+06,492.32
10/04/2013,561,575.5,560.5,572.5,1.29E+07,506.47
11/04/2013,574,583.17,572.5,580.5,6.89E+06,513.55
12/04/2013,580.5,587.65,579.36,586,5.33E+06,518.41
13/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
14/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
15/04/2013,583,585.23,577.02,578.5,2.99E+06,511.78
16/04/2013,576.5,586,575.5,582,3.08E+06,514.88
17/04/2013,585.5,586.57,571.5,574,5.99E+06,507.8
18/04/2013,577,579.5,570,572,3.26E+06,506.03
19/04/2013,575.5,575.5,569.5,572.5,3.12E+06,506.47
20/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
21/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
22/04/2013,578,584.5,574,581,2.49E+06,513.99
23/04/2013,582,590.11,581,587.5,3.34E+06,519.74
24/04/2013,587,590.29,586,590,2.48E+06,521.95
25/04/2013,590,592,586.5,591.5,2.17E+06,523.28
26/04/2013,588.5,594,587.5,594,2.76E+06,525.49
27/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
28/04/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
29/04/2013,595,603,592,601,3.21E+06,531.68
30/04/2013,605.5,606.5,589,594.5,3.88E+06,525.93
01/05/2013,596,600,590,592.5,1.64E+06,524.16
02/05/2013,592,594,586.5,592,3.24E+06,523.72
03/05/2013,592.5,598.5,590.5,598,2.98E+06,529.03
04/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
05/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
06/05/2013,598,598,598,598,0,529.03
07/05/2013,604,613.5,600,612.5,4.43E+06,541.86
08/05/2013,612.5,621,608,618,2.92E+06,546.72
09/05/2013,615,625.5,613.5,623.5,2.81E+06,551.59
10/05/2013,622.5,628,621.5,625.5,2.20E+06,553.36
11/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
12/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
13/05/2013,627,627,618,621,2.83E+06,549.38
14/05/2013,618,627.5,614.5,620,4.87E+06,548.49
15/05/2013,622.5,635.5,620,634,3.63E+06,560.88
16/05/2013,635,644.21,631,638.5,4.60E+06,564.86
17/05/2013,639,651.5,637.5,649,3.13E+06,574.15
18/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
19/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
20/05/2013,651.5,659.5,646.5,658,2.28E+06,582.11
21/05/2013,644,653,640.5,643,4.03E+06,568.84
22/05/2013,642,643.5,636.36,641,4.04E+06,567.07
23/05/2013,630,637,626,632,4.41E+06,559.11
24/05/2013,636,636,624.5,631.5,3.18E+06,558.67
25/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
26/05/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
27/05/2013,631.5,631.5,631.5,631.5,0,558.67
28/05/2013,635,647.5,634,638,3.02E+06,564.42
29/05/2013,636.5,636.59,618.5,621.5,3.38E+06,549.82
30/05/2013,622,624,614.5,616,2.92E+06,544.95
31/05/2013,616.5,616.5,605.5,609,4.35E+06,538.76
01/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
02/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
03/06/2013,605.5,613.5,598.2,609.5,2.90E+06,539.2
04/06/2013,611.5,613.62,605.5,608.5,3.21E+06,538.32
05/06/2013,606.5,606.5,592.5,595.5,4.87E+06,526.82
06/06/2013,594.5,598.5,579,582,3.30E+06,514.88
07/06/2013,586,595.5,581.5,591.5,3.09E+06,523.28
08/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
09/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
10/06/2013,589,595,586.5,589.5,2.24E+06,521.51
11/06/2013,589.5,589.5,579.5,583.5,4.20E+06,516.2
12/06/2013,584,592.5,580.5,582.5,3.76E+06,515.32
13/06/2013,576,589.5,570.6,583.5,4.33E+06,516.2
14/06/2013,590,602.44,583.5,595.5,3.89E+06,526.82
15/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
16/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
17/06/2013,593,600.5,593,597,2.47E+06,528.14
18/06/2013,596,599,589.5,592,2.86E+06,523.72
19/06/2013,593.5,599,587,597,2.56E+06,528.14
20/06/2013,590,597,569.5,576.5,5.02E+06,510.01
21/06/2013,579.5,586.64,571.39,571.5,6.19E+06,505.59
22/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
23/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
24/06/2013,571.5,571.5,553,555,3.44E+06,490.99
25/06/2013,558.5,559.5,548.45,554,6.19E+06,490.1
26/06/2013,555.5,566,555.36,563.5,5.94E+06,498.51
27/06/2013,564,569.36,559.5,565,4.04E+06,499.83
28/06/2013,568,573.82,562.5,566.5,5.26E+06,501.16
29/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
30/06/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
01/07/2013,570,578,563.5,573,4.42E+06,506.91
02/07/2013,572,581.5,571,580,4.82E+06,513.11
03/07/2013,570,573.5,566,569.5,3.24E+06,511.09
04/07/2013,574,589,570.36,584.5,3.15E+06,524.55
05/07/2013,587.5,602,587.5,591.5,5.89E+06,530.83
06/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
07/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
08/07/2013,595.5,602,592,598,2.98E+06,536.66
09/07/2013,604,612,600.24,608,3.29E+06,545.64
10/07/2013,605,609.5,602,606,2.81E+06,543.84
11/07/2013,611,618.5,608.5,617.5,2.71E+06,554.16
12/07/2013,616.5,619.5,613.35,614.5,2.48E+06,551.47
13/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
14/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
15/07/2013,617,622,615.5,618.5,2.11E+06,555.06
16/07/2013,620,622.5,614,614.5,2.35E+06,551.47
17/07/2013,617.5,618,603,605,2.99E+06,542.95
18/07/2013,607,615,605.22,614,2.47E+06,551.02
19/07/2013,614,621,610.5,618,4.27E+06,554.61
20/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
21/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
22/07/2013,620.5,624,616.5,619.5,2.19E+06,555.96
23/07/2013,625,625,616.5,617,2.38E+06,553.71
24/07/2013,618,623.5,605,611.5,3.50E+06,548.78
25/07/2013,612,612.41,593,597,4.02E+06,535.76
26/07/2013,602,604,594.5,596.5,2.13E+06,535.32
27/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
28/07/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
29/07/2013,597.5,604.5,595.5,598,2.39E+06,536.66
30/07/2013,598,601,594.18,595,2.48E+06,533.97
31/07/2013,594.5,603.18,591,597.5,2.54E+06,536.21
01/08/2013,601.5,608,596.25,608,3.24E+06,545.64
02/08/2013,610.5,610.5,596,597.5,2.74E+06,536.21
03/08/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
04/08/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
05/08/2013,597,604,596,596,4.00E+06,534.87
06/08/2013,596,602.45,590,594.5,3.02E+06,533.52
07/08/2013,595.5,595.5,585.5,586.5,3.51E+06,526.34
08/08/2013,588,588,583.5,585,3.17E+06,525
09/08/2013,587,588.33,580.89,584,2.56E+06,524.1
10/08/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
11/08/2013,714.01,719.63,707.65,713.42,3.03E+06,670.78
12/08/2013,586.5,588.96,580,582,1.89E+06,522.3
13/08/2013,582.5,588,582,586,3.06E+06,525.89
14/08/2013,586,590.5,581.5,581.5,2.13E+06,521.86
15/08/2013,582,584,565.5,570.5,3.05E+06,511.98
16/08/2013,568.5,576.5,566,575,3.33E+06,516.02
