Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,4170.8,4174.5,4120.4,4140,4.00E+06,1782.8
19/02/2013,4162.4,4199.7,4130.7,4170.8,5.78E+06,1796
20/02/2013,4141,4141,4040.2,4072.9,9.14E+06,1753.8
21/02/2013,3973.1,4028.1,3907.8,3911.5,1.44E+07,1684.4
22/02/2013,3941.4,3975.9,3898.5,3905.9,5.58E+06,1682
23/02/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
24/02/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
25/02/2013,3954.4,3991.7,3940.4,3961,6.82E+06,1705.6
26/02/2013,3862.1,3913.4,3842.5,3885.4,7.97E+06,1673.1
27/02/2013,3916.2,3928.3,3843.4,3908.7,7.18E+06,1683.2
28/02/2013,3952.6,3953.5,3864.9,3896.6,8.42E+06,1677.9
01/03/2013,3889.1,3889.1,3821.1,3879.8,8.22E+06,1670.7
02/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
03/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
04/03/2013,3811.7,3840.6,3744.6,3799.6,7.60E+06,1636.2
05/03/2013,3823.9,3941.4,3749.2,3931.1,1.39E+07,1692.8
06/03/2013,3889.1,3905,3865.8,3875.2,6.28E+06,1701.6
07/03/2013,3883.6,3938.6,3882.6,3904.1,5.63E+06,1714.3
08/03/2013,3926.5,3941.4,3860.2,3911.5,6.36E+06,1717.6
09/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
10/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
11/03/2013,3914.3,3967.5,3903.1,3965.6,5.17E+06,1741.3
12/03/2013,3945.1,4007,3938.6,3982.4,5.12E+06,1748.7
13/03/2013,3965.6,3965.6,3897.2,3930.2,5.78E+06,1725.8
14/03/2013,3939.5,3939.5,3875.2,3904.1,6.66E+06,1714.3
15/03/2013,3922.7,3933.9,3839.7,3851.8,9.86E+06,1691.4
16/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
17/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
18/03/2013,3781,3844.4,3761.4,3831.3,4.23E+06,1682.3
19/03/2013,3759.5,3795.9,3665.3,3696.1,1.14E+07,1623
20/03/2013,3717.5,3731.5,3639.2,3658.8,1.09E+07,1606.6
21/03/2013,3669,3670.9,3609.4,3657.8,7.38E+06,1606.2
22/03/2013,3642,3667.2,3608.4,3611.2,7.50E+06,1585.7
23/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
24/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
25/03/2013,3637.3,3648.5,3564,3588.8,7.03E+06,1575.9
26/03/2013,3596.3,3629.1,3575.8,3615.9,7.55E+06,1587.7
27/03/2013,3638.3,3665.3,3601.9,3621.5,5.76E+06,1590.2
28/03/2013,3626.1,3628.8,3569.2,3572,7.59E+06,1568.5
29/03/2013,3572,3572,3572,3572,0,1568.5
30/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
31/03/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
01/04/2013,3572,3572,3572,3572,0,1568.5
02/04/2013,3557.1,3635.5,3548.7,3617.7,5.94E+06,1588.6
03/04/2013,3588.8,3588.8,3527.3,3544.1,7.94E+06,1556.2
04/04/2013,3526.3,3604.7,3515.2,3538.5,7.75E+06,1553.7
05/04/2013,3540.3,3564.6,3458.6,3505.8,6.37E+06,1539.4
06/04/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
07/04/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
08/04/2013,3524.5,3557.1,3473.2,3503,1.01E+07,1538.2
09/04/2013,3556.2,3632.7,3537.5,3626.1,1.06E+07,1592.2
10/04/2013,3642.9,3661.7,3626.1,3639.2,8.83E+06,1598
11/04/2013,3637.3,3643.5,3592.6,3605.6,6.66E+06,1583.2
12/04/2013,3585.1,3629.9,3512.4,3530.1,9.79E+06,1550.1
13/04/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
14/04/2013,2705.7,2735.5,2669.4,2702.8,8.52E+06,1360.5
15/04/2013,3518,3522.8,3380.9,3403.2,1.13E+07,1494.4
16/04/2013,3418.2,3484.4,3356.3,3434.9,8.32E+06,1508.3
17/04/2013,3433.1,3448,3285.7,3318.4,1.40E+07,1457.1
