Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1203,1213,1198,1208,3.57E+05,1140.9
19/02/2013,1207,1231,1204,1221,5.94E+05,1153.1
20/02/2013,1226,1246,1222,1233,6.72E+05,1164.5
21/02/2013,1225,1230,1206,1214,6.75E+05,1146.5
22/02/2013,1219,1237,1212,1221,9.47E+05,1153.1
23/02/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
24/02/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
25/02/2013,1215,1251,1211,1225,7.03E+05,1156.9
26/02/2013,1214,1224,1199.6,1221,7.97E+05,1153.1
27/02/2013,1224,1243,1220,1240,9.70E+05,1171.1
28/02/2013,1247,1264,1237.3,1261,7.88E+05,1190.9
01/03/2013,1259,1288,1259,1286,5.01E+05,1214.5
02/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
03/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
04/03/2013,1301,1321,1293.4,1310,9.96E+05,1237.2
05/03/2013,1313,1323,1301,1320,7.68E+05,1246.6
06/03/2013,1322,1328,1309,1312,6.77E+05,1239.1
07/03/2013,1312,1321,1311,1312,7.39E+05,1239.1
08/03/2013,1313,1317,1301,1306,6.67E+05,1233.4
09/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
10/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
11/03/2013,1309,1310.9,1298,1304,8.22E+05,1231.5
12/03/2013,1301,1305,1286,1299,7.24E+05,1226.8
13/03/2013,1295,1308,1291,1303,6.93E+05,1230.6
14/03/2013,1303,1307,1295,1300,7.57E+05,1227.8
15/03/2013,1304,1310,1295,1298,9.23E+05,1225.9
16/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
17/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
18/03/2013,1282,1310,1275,1309,4.98E+05,1236.3
19/03/2013,1305,1320,1303.3,1312,6.32E+05,1239.1
20/03/2013,1318,1320,1303,1306,6.48E+05,1233.4
21/03/2013,1302,1303,1284,1292,7.40E+05,1220.2
22/03/2013,1290,1296,1284,1288,1.20E+06,1216.4
23/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
24/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
25/03/2013,1295,1302,1287,1290,4.39E+05,1218.3
26/03/2013,1294,1300,1285.6,1289,9.38E+05,1217.4
27/03/2013,1294,1294,1271,1289,9.90E+05,1217.4
28/03/2013,1286,1297,1284,1295,9.12E+05,1223
29/03/2013,1295,1295,1295,1295,0,1223
30/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
31/03/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
01/04/2013,1295,1295,1295,1295,0,1223
02/04/2013,1294,1314,1294,1310,6.55E+05,1237.2
03/04/2013,1303,1316,1301,1305,4.67E+05,1232.5
04/04/2013,1309,1309,1274,1277,5.15E+05,1206
05/04/2013,1280,1280,1257,1272,7.41E+05,1201.3
06/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
07/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
08/04/2013,1280,1292,1277.3,1290,6.23E+05,1218.3
09/04/2013,1288,1291.8,1268,1274,9.69E+05,1203.2
10/04/2013,1270,1292,1270,1290,4.40E+05,1218.3
11/04/2013,1289,1298,1284,1297,4.11E+05,1224.9
12/04/2013,1297,1297,1277,1292,4.52E+05,1220.2
13/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
14/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
15/04/2013,1285,1295,1277,1284,5.89E+05,1212.6
16/04/2013,1278,1281,1260,1271,5.99E+05,1200.4
17/04/2013,1282,1286,1262,1267,6.11E+05,1196.6
18/04/2013,1272,1277,1255,1255,4.43E+05,1185.3
19/04/2013,1260,1260,1242,1256,5.04E+05,1186.2
20/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
21/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
22/04/2013,1258,1261.3,1242,1247,2.77E+05,1177.7
23/04/2013,1246,1278,1244,1278,3.64E+05,1207
24/04/2013,1275,1277,1252,1255,4.46E+05,1185.3
25/04/2013,1252,1262,1243,1251,4.41E+05,1181.5
26/04/2013,1248,1266,1248,1266,3.66E+05,1195.6
27/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
28/04/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
29/04/2013,1265,1275,1262,1274,7.16E+05,1203.2
30/04/2013,1274,1288,1270,1279,6.04E+05,1207.9
01/05/2013,1294,1294,1262,1291,4.57E+05,1219.3
02/05/2013,1285,1294,1272,1292,4.38E+05,1220.2
03/05/2013,1288,1294,1267,1291,6.51E+05,1219.3
04/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
05/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
06/05/2013,1291,1291,1291,1291,0,1219.3
07/05/2013,1268,1285,1266,1274,6.47E+05,1203.2
08/05/2013,1269,1280,1265,1278,5.94E+05,1227.7
09/05/2013,1274,1286,1266,1283,2.56E+05,1232.6
10/05/2013,1281,1292,1279,1288,3.36E+05,1237.4
11/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
12/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
13/05/2013,1291,1308,1286.9,1304,3.87E+05,1252.7
14/05/2013,1312,1323,1303,1319,4.85E+05,1267.1
15/05/2013,1315,1334,1315,1329,3.59E+05,1276.7
16/05/2013,1333,1337,1314,1322,2.89E+05,1270
17/05/2013,1321,1323,1310,1323,2.95E+05,1271
18/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
19/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
20/05/2013,1322,1336,1319,1336,1.85E+05,1283.5
21/05/2013,1336,1346.2,1329,1342,5.00E+05,1289.2
22/05/2013,1339,1349,1307,1331,7.96E+05,1278.7
23/05/2013,1318,1326,1303,1309,4.44E+05,1257.5
24/05/2013,1315,1320,1299,1308,3.29E+05,1256.6
25/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
26/05/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
27/05/2013,1308,1308,1308,1308,0,1256.6
28/05/2013,1320,1340.1,1316,1325,3.37E+05,1272.9
29/05/2013,1322,1322,1300,1302,4.31E+05,1250.8
30/05/2013,1299,1306,1291,1297,4.57E+05,1246
31/05/2013,1294,1294,1275,1284,6.03E+05,1233.5
01/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
02/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
03/06/2013,1279,1289,1273,1283,4.33E+05,1232.6
04/06/2013,1288,1288,1273,1279,3.30E+05,1228.7
05/06/2013,1275,1283,1259,1259,3.75E+05,1209.5
06/06/2013,1259,1271,1233,1233,3.20E+05,1184.5
07/06/2013,1238,1253,1231,1253,3.88E+05,1203.7
08/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
09/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
10/06/2013,1255,1276,1246,1270,4.09E+05,1220.1
11/06/2013,1266,1269,1244,1257,4.13E+05,1207.6
12/06/2013,1260,1275,1256,1259,4.06E+05,1209.5
13/06/2013,1245,1261,1236,1259,3.06E+05,1209.5
14/06/2013,1262,1263,1240,1259,3.53E+05,1209.5
15/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
16/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
17/06/2013,1263,1279,1259,1271,2.99E+05,1221
18/06/2013,1270,1302,1270,1280,3.37E+05,1229.7
19/06/2013,1282,1286,1261,1279,3.43E+05,1228.7
20/06/2013,1262,1272,1233,1233,5.40E+05,1184.5
21/06/2013,1238,1284,1236,1259,1.28E+06,1209.5
22/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
23/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
24/06/2013,1258,1261,1240,1244,5.02E+05,1195.1
25/06/2013,1249,1259,1239,1256,4.45E+05,1206.6
26/06/2013,1251,1258,1237,1246,5.86E+05,1197
27/06/2013,1244,1292,1240,1287,5.49E+05,1236.4
28/06/2013,1284,1295,1278,1280,6.25E+05,1229.7
29/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
30/06/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
01/07/2013,1286,1313,1283,1312,4.82E+05,1260.4
02/07/2013,1312,1319,1301,1315,4.97E+05,1263.3
03/07/2013,1303,1326,1303,1321,4.47E+05,1269.1
04/07/2013,1335,1362,1321,1362,3.53E+05,1308.4
05/07/2013,1359,1390,1351,1373,6.37E+05,1319
06/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
07/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
08/07/2013,1380,1389,1370,1374,4.39E+05,1320
09/07/2013,1373,1384,1365,1377,4.39E+05,1322.9
10/07/2013,1373,1396,1366,1392,3.21E+05,1337.3
11/07/2013,1399,1404,1375,1378,4.85E+05,1323.8
12/07/2013,1378,1394,1376,1378,3.27E+05,1323.8
13/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
14/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
15/07/2013,1378,1396.8,1376,1383,2.78E+05,1328.6
16/07/2013,1387,1393,1367,1369,3.50E+05,1315.2
17/07/2013,1369,1381,1362,1376,2.36E+05,1321.9
18/07/2013,1377,1399,1377,1396,3.18E+05,1341.1
19/07/2013,1389,1396,1376,1385,4.00E+05,1330.5
20/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
21/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
22/07/2013,1390,1390,1379,1386,1.58E+05,1331.5
23/07/2013,1392,1392,1371,1376,2.99E+05,1321.9
24/07/2013,1375,1387,1369,1379,2.03E+05,1324.8
25/07/2013,1372,1383,1359.4,1371,2.61E+05,1317.1
26/07/2013,1384,1389,1370,1374,2.42E+05,1320
27/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
28/07/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
29/07/2013,1375,1393,1375,1382,2.47E+05,1327.7
30/07/2013,1387,1410,1383,1403,3.03E+05,1347.8
31/07/2013,1394,1423,1394,1409,4.98E+05,1353.6
01/08/2013,1410,1420,1388,1398,5.18E+05,1343
02/08/2013,1402,1402,1373,1379,5.33E+05,1324.8
03/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
04/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
05/08/2013,1377,1388,1353,1360,6.90E+05,1306.5
06/08/2013,1360,1389,1355.9,1368,6.92E+05,1314.2
07/08/2013,1367,1369,1345,1346,5.99E+05,1293.1
08/08/2013,1354,1354,1340,1345,4.22E+05,1292.1
09/08/2013,1349,1365,1341,1361,5.60E+05,1307.5
10/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
11/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
12/08/2013,1360,1363,1339,1349,3.01E+05,1296
13/08/2013,1355,1373,1323,1350,4.07E+05,1296.9
14/08/2013,1349,1362,1346,1355,2.36E+05,1301.7
15/08/2013,1375,1398,1339,1343,5.65E+05,1290.2
16/08/2013,1344,1350,1326.5,1333,4.31E+05,1280.6
17/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
18/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
19/08/2013,1334,1354,1330,1349,2.68E+05,1296
20/08/2013,1336,1362,1326,1362,3.81E+05,1308.4
21/08/2013,1362,1362,1341,1345,2.56E+05,1292.1
22/08/2013,1341,1356,1341,1350,2.31E+05,1296.9
23/08/2013,1348,1366,1344,1354,1.77E+05,1300.8
24/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
25/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
26/08/2013,1354,1354,1354,1354,0,1300.8
27/08/2013,1363,1390,1340.6,1376,4.79E+05,1321.9
28/08/2013,1377,1381.3,1359,1364,3.97E+05,1310.4
29/08/2013,1359,1376,1344,1375,3.78E+05,1320.9
30/08/2013,1374,1381,1351,1361,5.33E+05,1307.5
31/08/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
01/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
02/09/2013,1365,1387,1365,1383,2.28E+05,1328.6
03/09/2013,1376,1386,1369,1374,3.23E+05,1320
04/09/2013,1373,1374,1351,1371,3.51E+05,1317.1
05/09/2013,1372,1387,1355,1365,4.83E+05,1311.3
06/09/2013,1363,1369,1349,1361,3.51E+05,1307.5
07/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
08/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
09/09/2013,1364,1366,1348,1357,4.65E+05,1303.6
10/09/2013,1365,1374,1352,1356,4.70E+05,1302.7
11/09/2013,1356,1357,1344,1347,4.20E+05,1294
12/09/2013,1350,1355,1333,1346,3.64E+05,1293.1
13/09/2013,1341,1354,1332,1352,2.83E+05,1298.8
14/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
15/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
16/09/2013,1368,1376,1364,1365,4.16E+05,1311.3
17/09/2013,1372,1381,1355.6,1356,4.94E+05,1302.7
18/09/2013,1359,1368,1347,1350,2.97E+05,1296.9
19/09/2013,1360,1369,1348,1351,2.62E+05,1297.9
20/09/2013,1347,1373,1347,1352,5.20E+05,1298.8
21/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
22/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
23/09/2013,1352,1359,1339,1344,2.38E+05,1291.2
24/09/2013,1342,1362,1342,1358,3.37E+05,1304.6
25/09/2013,1355,1357,1343,1350,2.33E+05,1296.9
26/09/2013,1349,1355,1342,1344,1.85E+05,1291.2
27/09/2013,1357,1374,1341,1349,2.94E+05,1296
28/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
29/09/2013,1616.6,1628.8,1604.2,1616.8,5.27E+05,1574.4
30/09/2013,1330,1341,1330,1338,3.38E+05,1285.4
01/10/2013,1342,1369,1336,1352,3.83E+05,1298.8
