Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,448.55,450.15,444.25,445,1.45E+07,371.49
19/02/2013,444.1,450.8,443.6,446.35,4.23E+07,372.62
20/02/2013,448.5,450.79,442.43,447.75,3.51E+07,373.78
21/02/2013,445.6,448.3,438.3,443,2.54E+07,369.82
22/02/2013,443.1,445.91,441.45,444.05,5.32E+07,370.69
23/02/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
24/02/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
25/02/2013,453,455.9,448.8,451.15,6.87E+07,376.62
26/02/2013,442.9,449.5,441.6,444.1,2.53E+07,370.74
27/02/2013,444.95,448.04,442.55,446.95,1.60E+07,373.12
28/02/2013,447.9,448.47,443.55,445.7,2.62E+07,372.07
01/03/2013,443.2,449,441.55,446.35,1.73E+07,372.62
02/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
03/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
04/03/2013,446.45,450.01,443.22,443.9,1.85E+07,370.57
05/03/2013,443.9,447.94,441.65,447,2.49E+07,373.16
06/03/2013,447.05,451.3,445.15,449.5,3.10E+07,375.25
07/03/2013,450,452.13,448.4,449.6,2.15E+07,375.33
08/03/2013,448.95,452.91,448.2,450.7,2.64E+07,376.25
09/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
10/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
11/03/2013,449.9,454.75,449.46,452.55,2.33E+07,377.79
12/03/2013,452.3,455.4,451.7,452.1,1.49E+07,377.42
13/03/2013,452.6,452.6,445.1,449.3,2.19E+07,375.08
14/03/2013,449,451.98,446.3,451.05,2.11E+07,376.54
15/03/2013,451.4,452.45,444.8,449.65,5.01E+07,375.37
16/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
17/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
18/03/2013,446.15,450.73,442.1,448.5,2.43E+07,374.41
19/03/2013,446.6,452.63,446.3,449.7,1.63E+07,375.41
20/03/2013,452.15,453.19,446.8,448,2.37E+07,373.99
21/03/2013,448.5,451,444.2,449.4,2.12E+07,375.16
22/03/2013,461,463.3,456.15,457.7,6.29E+07,382.09
23/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
24/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
25/03/2013,460.05,461.85,457.74,459.95,2.45E+07,383.97
26/03/2013,460.5,463.3,458.25,462.95,2.10E+07,386.47
27/03/2013,463.15,464.75,458.15,463.45,2.07E+07,386.89
28/03/2013,463,468.3,458.35,459.9,3.29E+07,383.93
29/03/2013,459.9,459.9,459.9,459.9,0,383.93
30/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
31/03/2013,442.47,446.37,437.63,442.02,2.86E+07,395.64
