Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1352,1359,1339.4,1355,6.27E+05,1264.6
19/02/2013,1350,1392,1346,1380,8.31E+05,1287.9
20/02/2013,1378,1407,1378,1400,8.72E+05,1306.6
21/02/2013,1392,1393.4,1363,1368,7.99E+05,1276.7
22/02/2013,1378,1411,1375,1382,9.87E+05,1289.8
23/02/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
24/02/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
25/02/2013,1389,1400.2,1370.2,1379,8.61E+05,1287
26/02/2013,1350,1366,1339,1355,1.16E+06,1264.6
27/02/2013,1358,1362,1340,1360,7.17E+05,1269.2
28/02/2013,1363,1382,1358,1376,1.02E+06,1284.2
01/03/2013,1376,1416,1375.2,1411,1.25E+06,1316.8
02/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
03/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
04/03/2013,1405,1405,1387,1394,1.11E+06,1301
05/03/2013,1400,1417,1395,1410,9.37E+05,1315.9
06/03/2013,1415,1425,1399.8,1409,8.26E+05,1315
07/03/2013,1410,1415,1399,1404,8.38E+05,1310.3
08/03/2013,1411,1424,1402,1417,9.62E+05,1322.4
09/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
10/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
11/03/2013,1417,1434.2,1414.9,1433,8.85E+05,1337.4
12/03/2013,1421,1434,1408,1433,1.14E+06,1337.4
13/03/2013,1429,1437,1425,1432,1.00E+06,1336.4
14/03/2013,1437,1473,1436.3,1455,1.29E+06,1357.9
15/03/2013,1456,1457,1432,1450,2.15E+06,1353.2
16/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
17/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
18/03/2013,1425,1440,1400.5,1439,1.43E+06,1343
19/03/2013,1436,1443,1410,1422,2.62E+06,1327.1
20/03/2013,1435,1435,1420,1425,9.96E+05,1329.9
21/03/2013,1423,1425,1385,1387,1.05E+06,1294.4
22/03/2013,1376,1377,1314.8,1330,3.10E+06,1241.2
23/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
24/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
25/03/2013,1341,1350,1317,1317,1.89E+06,1229.1
26/03/2013,1319,1347,1316,1338,1.44E+06,1248.7
27/03/2013,1345,1362,1316,1341,1.40E+06,1251.5
28/03/2013,1339,1349,1320,1329,1.76E+06,1240.3
29/03/2013,1329,1329,1329,1329,0,1240.3
30/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
31/03/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
01/04/2013,1329,1329,1329,1329,0,1240.3
02/04/2013,1326,1346,1320,1325,1.39E+06,1236.6
03/04/2013,1325,1333,1280,1282,1.60E+06,1196.4
04/04/2013,1283,1289.6,1273,1278,1.64E+06,1192.7
05/04/2013,1279,1283,1238,1247,2.36E+06,1163.8
06/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
07/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
08/04/2013,1253,1268,1246,1256,1.06E+06,1172.2
09/04/2013,1260,1274,1257.1,1268,1.03E+06,1183.4
10/04/2013,1276,1283,1268,1280,1.70E+06,1194.6
11/04/2013,1279,1319,1279,1318,1.03E+06,1230
12/04/2013,1311,1323,1286,1294,1.18E+06,1207.6
13/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
14/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
15/04/2013,1294,1295,1261,1284,9.43E+05,1198.3
16/04/2013,1269,1280,1238,1266,1.74E+06,1181.5
17/04/2013,1310,1363,1285,1289,4.00E+06,1203
18/04/2013,1288,1303,1279,1281,1.38E+06,1195.5
19/04/2013,1297,1305,1282,1299,1.13E+06,1212.3
20/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
21/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
22/04/2013,1304,1321,1273,1279,8.28E+05,1193.6
23/04/2013,1278,1330.5,1278,1326,1.16E+06,1237.5
24/04/2013,1329,1354.1,1329,1345,1.14E+06,1255.2
25/04/2013,1346,1355,1336,1351,9.41E+05,1260.8
26/04/2013,1348,1350,1337,1350,8.17E+05,1259.9
27/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
28/04/2013,1496.5,1510.1,1480.5,1495.5,1.43E+06,1443.4
