Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,275.2,276.3,273.43,274.2,8.70E+06,250.8
19/02/2013,273.4,278.6,272.62,276.9,1.34E+07,253.27
20/02/2013,277,282.84,276.42,281,1.19E+07,257.02
21/02/2013,280,280,273.1,274,1.17E+07,250.62
22/02/2013,274.3,279.6,274.3,277.1,9.70E+06,253.45
23/02/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
24/02/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
25/02/2013,278,278.78,270.6,271.7,1.47E+07,248.51
26/02/2013,266.8,272.9,265.3,266.5,3.17E+07,243.76
27/02/2013,268,270.7,267.5,270,1.40E+07,246.96
28/02/2013,271.3,271.63,266.8,267.7,2.02E+07,244.85
01/03/2013,267.1,269.5,264.8,268.5,1.15E+07,245.59
02/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
03/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
04/03/2013,267,268.7,264.8,265.4,1.37E+07,242.75
05/03/2013,266.2,268.9,265.7,268.5,1.38E+07,245.59
06/03/2013,268.9,269.54,265.9,266.4,1.41E+07,243.67
07/03/2013,266.1,267,263.4,264,1.66E+07,241.47
08/03/2013,265.4,269.07,264.8,267,1.69E+07,244.22
09/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
10/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
11/03/2013,267,271.8,266.1,270.5,1.32E+07,247.42
12/03/2013,270.5,271.13,269.5,269.5,1.11E+07,246.5
13/03/2013,269,269,264.1,265.8,1.30E+07,243.12
14/03/2013,265.7,278.06,265.48,277.4,2.66E+07,253.73
15/03/2013,277,277.8,272.2,272.3,2.71E+07,249.06
16/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
17/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
18/03/2013,266.9,272,266.42,270.8,1.15E+07,247.69
19/03/2013,270.3,273.6,268.8,269.9,9.78E+06,246.87
20/03/2013,271.1,274.56,270.98,272.7,1.16E+07,249.43
21/03/2013,271.8,271.8,265.2,266.3,1.37E+07,243.57
22/03/2013,266.3,277.7,266.3,276.7,1.75E+07,253.09
23/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
24/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
25/03/2013,279.4,281.4,277.8,280.8,1.72E+07,256.84
26/03/2013,281.3,281.5,276.26,277.6,1.45E+07,253.91
27/03/2013,279.5,279.5,270.8,274.5,1.48E+07,251.07
28/03/2013,275,280.8,274.6,278,1.26E+07,254.28
29/03/2013,278,278,278,278,0,254.28
30/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
31/03/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
01/04/2013,278,278,278,278,0,254.28
02/04/2013,277.4,283.2,276.4,281.7,1.30E+07,257.66
03/04/2013,280.7,281.7,277.9,278.5,1.30E+07,254.73
04/04/2013,278.3,279.34,272.56,273.6,1.09E+07,250.25
05/04/2013,270,270.57,261.4,265.8,1.48E+07,243.12
06/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
07/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
08/04/2013,267,268.4,264.7,265.7,9.83E+06,243.03
09/04/2013,266.7,268.83,266.25,268.1,1.01E+07,245.22
10/04/2013,268.5,278,268.4,277,1.41E+07,253.36
11/04/2013,277.1,280.5,276.17,279.5,1.05E+07,255.65
12/04/2013,278.7,279.2,276.3,278.2,7.91E+06,254.46
13/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
14/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
15/04/2013,276.5,277.99,274,277.6,1.13E+07,253.91
16/04/2013,275.7,277.7,272.8,274.4,9.77E+06,250.98
17/04/2013,276.8,277.8,273.9,274.8,1.14E+07,251.35
18/04/2013,276.3,277.1,273.1,276,1.31E+07,252.45
19/04/2013,278,279,274.9,277.6,1.21E+07,253.91
20/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
21/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
22/04/2013,278.3,280,275.9,276.6,8.45E+06,253
23/04/2013,275.4,284.5,275.3,283.7,1.34E+07,259.49
24/04/2013,283.1,284.9,282,284.3,1.04E+07,260.04
25/04/2013,284.9,290.7,282.7,288.7,1.36E+07,264.06
26/04/2013,287.4,287.9,284.3,285.8,9.16E+06,261.41
27/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
28/04/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
29/04/2013,286.1,287.6,280.1,280.9,2.13E+07,256.93
30/04/2013,280.7,283.34,276.12,276.2,2.00E+07,252.63
01/05/2013,275.8,286.63,275.8,285.7,1.53E+07,261.32
02/05/2013,280.3,283.2,278.8,279.1,1.31E+07,255.28
03/05/2013,278.9,279.3,274.3,275,1.44E+07,251.53
04/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
05/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
06/05/2013,275,275,275,275,0,251.53
07/05/2013,282.5,283.4,275.1,281.9,1.62E+07,257.84
08/05/2013,282.9,284.5,281.4,282.3,1.56E+07,258.21
09/05/2013,280.7,282.1,272.3,275.7,2.47E+07,252.17
10/05/2013,296,312.2,295,309.5,5.98E+07,283.09
11/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
12/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
13/05/2013,309.6,310.8,303.54,305.8,2.09E+07,279.7
14/05/2013,306.2,311.5,304.9,311.5,1.26E+07,284.92
15/05/2013,311.4,312.91,309.3,312.6,1.44E+07,285.92
16/05/2013,314.5,322.13,313.1,316.3,1.84E+07,289.31
17/05/2013,315.4,316.5,312.91,314,1.38E+07,287.2
18/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
19/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
20/05/2013,315.6,322.93,314.13,322.2,9.03E+06,294.7
21/05/2013,322.2,323.5,319.7,322.3,1.17E+07,294.8
22/05/2013,321.9,324,320.3,321.5,1.46E+07,294.06
23/05/2013,315.2,319.1,312.6,314.1,1.28E+07,287.3
24/05/2013,308.2,313.1,304.2,307.7,1.70E+07,281.44
25/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
26/05/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
27/05/2013,307.7,307.7,307.7,307.7,0,281.44
28/05/2013,309,314.1,309,312.6,1.32E+07,285.92
29/05/2013,310.9,311.1,304.8,305.4,1.12E+07,279.34
30/05/2013,304.1,304.55,300.8,303.4,1.01E+07,277.51
31/05/2013,302.3,307.8,300.48,302.1,2.06E+07,276.32
01/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
02/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
03/06/2013,300,300.6,293,294.3,1.85E+07,269.19
04/06/2013,297.6,301.74,295.43,296.4,4.25E+07,271.11
05/06/2013,294.9,298.7,293.83,294.1,1.22E+07,269
06/06/2013,295.6,304.7,295.6,301.7,1.61E+07,275.95
07/06/2013,304.7,315.2,304,312.8,2.49E+07,286.11
08/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
09/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
10/06/2013,311.2,315.11,306.9,308,1.35E+07,281.72
11/06/2013,306.5,309.03,300.9,305,1.09E+07,278.97
12/06/2013,305.5,313.8,305,309.3,1.28E+07,282.9
13/06/2013,305.3,309.3,304.3,307.7,1.52E+07,281.44
14/06/2013,310.2,312.5,306.4,312.4,1.47E+07,285.74
15/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
16/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
17/06/2013,313.1,315.1,310.8,312,1.18E+07,285.37
18/06/2013,311.3,322.9,310.15,319.3,1.30E+07,292.05
19/06/2013,319,321.82,306.5,313.7,3.11E+07,286.93
20/06/2013,309.9,312,302.5,304.4,1.80E+07,278.42
21/06/2013,307.1,314.1,305.2,307.4,3.06E+07,281.17
22/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
23/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
24/06/2013,306.6,308.5,299,300.2,1.93E+07,274.58
25/06/2013,303.9,307,300.2,304.9,1.23E+07,278.88
26/06/2013,305.4,309,304.4,305.4,1.14E+07,279.34
27/06/2013,305.5,311.57,305,309,1.34E+07,282.63
28/06/2013,310.4,311.9,308.2,309.2,1.71E+07,282.81
29/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
30/06/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
01/07/2013,313.2,317.7,311.1,317.5,1.31E+07,290.4
02/07/2013,315,317.54,312.9,316.2,9.59E+06,289.22
03/07/2013,314.1,317.9,312.8,317.8,1.41E+07,290.68
04/07/2013,320,330.5,319,329.1,1.41E+07,301.01
05/07/2013,330.4,333.2,327.1,329.3,1.86E+07,301.2
06/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
07/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
08/07/2013,331.6,335.57,329.9,335.2,1.14E+07,306.6
09/07/2013,336.6,336.6,330.8,334,1.08E+07,305.5
10/07/2013,334.2,336.26,330.4,335.7,1.07E+07,307.05
11/07/2013,338,340.9,333.3,337.4,1.17E+07,308.61
12/07/2013,339.8,341.2,337.7,339.2,1.22E+07,310.25
13/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
14/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
15/07/2013,341.7,347.1,341.5,344,1.21E+07,314.64
16/07/2013,344,345,337.1,338.4,1.21E+07,309.52
17/07/2013,338.5,339.91,333.6,334,1.65E+07,305.5
18/07/2013,333,335.2,331.4,332.1,2.72E+07,303.76
19/07/2013,331.9,338.46,331.6,338.1,1.94E+07,309.25
20/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
21/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
22/07/2013,338,344.3,336.8,343.2,1.07E+07,313.91
23/07/2013,345.7,348.7,339.9,339.9,2.18E+07,310.89
24/07/2013,338.9,344.6,337.2,342,1.02E+07,312.81
25/07/2013,343.6,345.25,331.1,334.4,1.58E+07,305.86
26/07/2013,336.3,338.2,334.7,336.8,8.43E+06,308.06
27/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
28/07/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
29/07/2013,338.4,340.69,336.2,336.6,8.87E+06,307.88
30/07/2013,338.9,344.1,338.89,342.1,8.72E+06,312.91
31/07/2013,341.1,344,339.6,340.7,1.03E+07,311.63
01/08/2013,342.4,346.4,340.4,342.7,1.35E+07,313.45
02/08/2013,345,345.6,338.6,339.6,1.07E+07,310.62
03/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
04/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
05/08/2013,340.1,342.7,336.5,338.9,1.18E+07,309.98
06/08/2013,338.9,340.77,334.39,338.6,1.53E+07,309.7
07/08/2013,331,338.8,328.3,328.5,1.14E+07,307.01
08/08/2013,329.3,333.8,325.02,326.5,1.07E+07,305.15
09/08/2013,328.2,333.2,325.67,330.5,8.97E+06,308.88
10/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
11/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
12/08/2013,330,330,325.5,329,8.66E+06,307.48
13/08/2013,329,332.9,328.3,331.3,8.92E+06,309.63
14/08/2013,330.7,627.27,326,326.2,3.26E+07,304.87
15/08/2013,326.1,331.7,324.4,325.6,1.47E+07,304.31
16/08/2013,324.9,327.7,323.6,325.8,1.15E+07,304.49
17/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
18/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
19/08/2013,325.9,327.3,321.7,322.2,7.12E+06,301.13
20/08/2013,320,329.3,320,328.2,1.22E+07,306.73
21/08/2013,328.3,331.8,326.8,327.4,1.63E+07,305.99
22/08/2013,327,331,327,330.5,8.99E+06,308.88
23/08/2013,330.2,334.2,329.3,332.3,6.53E+06,310.57
24/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
25/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
26/08/2013,332.3,332.3,332.3,332.3,0,310.57
27/08/2013,330.7,332.44,325.2,326.2,1.15E+07,304.87
28/08/2013,324.1,325.5,321.8,323,1.12E+07,301.88
29/08/2013,324.3,331.8,324,330.8,1.23E+07,309.16
30/08/2013,331.5,333.2,325.3,325.3,1.49E+07,304.02
31/08/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
01/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
02/09/2013,330.2,340.26,329.8,338.2,1.45E+07,316.08
03/09/2013,339.8,346.6,337.1,337.9,1.57E+07,315.8
04/09/2013,339.7,341.5,334.2,340.4,8.24E+06,318.14
05/09/2013,340.2,343.92,339,342.5,8.38E+06,320.1
06/09/2013,341.2,350,340.1,342.9,1.18E+07,320.47
07/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
08/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
09/09/2013,342.5,343.4,340.79,343,6.55E+06,320.57
10/09/2013,345.1,349,344.5,348.9,8.96E+06,326.08
11/09/2013,350,350,345.51,346.5,7.92E+06,323.84
12/09/2013,347.3,349.7,345.2,348.2,6.50E+06,325.43
13/09/2013,347.6,350.68,345.4,345.4,8.37E+06,322.81
14/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
15/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
16/09/2013,348.8,349,344.2,346.7,1.02E+07,324.02
17/09/2013,346,348.6,344.3,344.4,9.45E+06,321.88
18/09/2013,344.4,346.1,340.8,342.8,1.07E+07,320.38
19/09/2013,345,347.3,340.7,341.3,8.12E+06,318.98
20/09/2013,339.5,345.2,339.3,342.5,1.52E+07,320.1
21/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
22/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
23/09/2013,344.5,347.8,340.8,342.6,7.34E+06,320.19
24/09/2013,343,344.1,341,342.5,8.13E+06,320.1
25/09/2013,343,344.2,340.1,342.5,7.76E+06,320.1
26/09/2013,342.9,343.6,341.1,343.1,7.20E+06,320.66
27/09/2013,343,347.6,343,346.4,1.08E+07,323.74
28/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
29/09/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
30/09/2013,342.5,345.5,341.7,342.4,1.44E+07,320.01
01/10/2013,342.9,348.3,342.75,347.5,1.16E+07,324.77
02/10/2013,345.9,347.9,344.2,347,8.72E+06,324.31
03/10/2013,347,349.4,346.5,347.7,2.08E+07,324.96
04/10/2013,347.2,351.9,345.6,350.9,8.50E+06,327.95
05/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
06/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
07/10/2013,349.1,349.81,345,347,7.65E+06,324.31
08/10/2013,346.4,347.4,340.2,340.6,1.43E+07,318.32
09/10/2013,340,344.6,339.1,342.7,1.14E+07,320.29
10/10/2013,343.7,348.8,341.4,348.3,8.26E+06,325.52
11/10/2013,349.5,349.7,347,348.1,6.34E+06,325.33
12/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
13/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
14/10/2013,346.9,355.1,346.7,353.5,9.03E+06,330.38
15/10/2013,355.8,358.2,351.3,354.4,1.20E+07,331.22
16/10/2013,357.8,361.14,354.6,359,1.14E+07,335.52
17/10/2013,357,364.4,356.2,364.1,1.12E+07,340.29
18/10/2013,366,366.6,362.33,365.1,1.54E+07,341.22
19/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
20/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
21/10/2013,366,367.6,364.2,367.4,7.52E+06,343.37
22/10/2013,366.5,369.1,364.23,367.2,7.93E+06,343.18
23/10/2013,360,363.6,360,362.5,1.53E+07,338.79
24/10/2013,362.8,364.6,360.2,362.7,1.17E+07,338.98
25/10/2013,361.9,363,358.1,359.1,1.82E+07,335.61
26/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
27/10/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
28/10/2013,361.3,363.9,360,361.7,9.63E+06,338.04
29/10/2013,360.6,369.44,360.6,369.4,1.15E+07,345.24
30/10/2013,370.3,372.67,367.9,369.5,1.02E+07,345.33
31/10/2013,370.6,382.1,364.1,377,2.66E+07,352.34
01/11/2013,379.7,381.6,376.6,378.6,1.07E+07,353.84
02/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
03/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
04/11/2013,388,388,375.7,377.2,9.54E+06,352.53
05/11/2013,379.4,379.9,372.05,376.3,1.10E+07,351.69
06/11/2013,377.8,379.1,373.6,374.5,1.16E+07,350.01
07/11/2013,374.3,375.9,369.7,371.1,1.18E+07,346.83
08/11/2013,369,373.3,367.7,372.1,8.35E+06,347.76
09/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
10/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
11/11/2013,369.2,375.6,362.7,374.1,2.85E+07,349.63
12/11/2013,375.7,377.77,373.4,377.1,1.35E+07,352.44
13/11/2013,377,378.8,373.1,374.9,1.28E+07,350.38
14/11/2013,377,380.1,375.6,379,1.17E+07,354.21
15/11/2013,379.1,383.02,375.9,379.8,1.33E+07,354.96
16/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
17/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
18/11/2013,378.8,382.4,375.21,382,1.05E+07,357.02
19/11/2013,381,381.69,378,379.8,7.90E+06,354.96
20/11/2013,378.4,379.5,371.7,376.1,1.42E+07,351.5
21/11/2013,375.9,381,374.19,379.6,8.98E+06,354.77
22/11/2013,380.1,380.5,375.8,376.1,1.01E+07,351.5
23/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
24/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
25/11/2013,375.9,378.1,373.62,374.5,1.10E+07,350.01
26/11/2013,373.9,374.7,370.71,372.2,1.54E+07,347.86
27/11/2013,372,375.4,370.3,373.9,1.26E+07,349.44
28/11/2013,374.2,376.9,373.3,374,7.40E+06,349.54
29/11/2013,373.1,376.93,372.5,372.7,8.67E+06,348.32
30/11/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
01/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
02/12/2013,373.1,373.41,367.1,367.2,1.04E+07,343.18
03/12/2013,366,367.53,364.2,366.9,1.24E+07,342.9
04/12/2013,366.5,368.5,364.6,367.2,9.35E+06,343.18
05/12/2013,367.2,367.3,362.9,364.6,1.25E+07,340.75
06/12/2013,366.8,372.2,364.9,370.6,1.37E+07,346.36
07/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
08/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
09/12/2013,371.4,372.9,367.9,371.2,8.94E+06,346.92
10/12/2013,369.2,372.3,365.7,368.6,9.37E+06,344.49
11/12/2013,368.1,373.9,367.8,372.6,1.13E+07,348.23
12/12/2013,371.9,372,366.4,368.7,8.81E+06,344.59
13/12/2013,368.7,369.5,366.2,366.9,1.03E+07,342.9
14/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
15/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
16/12/2013,367,372.9,365.31,372,1.13E+07,347.67
17/12/2013,370.5,374.8,370.1,374.1,9.64E+06,349.63
18/12/2013,376,378.6,373.2,373.2,1.08E+07,348.79
19/12/2013,376.3,378.46,374.5,375.1,9.61E+06,350.57
20/12/2013,375.5,378.6,371.6,376.8,1.97E+07,352.16
21/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
22/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
23/12/2013,374.8,378.8,373,376.5,6.06E+06,355.44
24/12/2013,376.8,382.8,375.7,378.4,1.94E+06,357.23
25/12/2013,378.4,378.4,378.4,378.4,0,357.23
26/12/2013,378.4,378.4,378.4,378.4,0,357.23
27/12/2013,380.3,382.6,377.3,380.6,5.03E+06,359.31
28/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
29/12/2013,392.78,396.8,389.1,392.64,1.46E+07,376.27
30/12/2013,380.2,382.29,375.1,377.3,6.33E+06,356.19
31/12/2013,377.4,383.2,377.3,379.4,2.29E+06,358.18
01/01/2014,379.4,379.4,379.4,379.4,0,358.18
02/01/2014,380.2,383.3,376.9,380.1,1.16E+07,358.84
03/01/2014,380.6,383.5,377.8,381.8,6.04E+06,360.44
04/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
05/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
06/01/2014,381,386.3,379.36,385.3,7.63E+06,363.75
07/01/2014,385.2,387.5,383.2,384,1.14E+07,362.52
08/01/2014,383.3,384.34,378.8,379.1,1.07E+07,357.89
09/01/2014,379,387,378.5,384,1.03E+07,362.52
10/01/2014,384.6,385.5,382.1,383.3,2.03E+07,361.86
11/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
12/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
13/01/2014,383.7,388.5,383.2,384.7,7.03E+06,363.18
14/01/2014,379,387.7,378,384.8,1.35E+07,363.27
15/01/2014,384.9,387.4,383.9,386,1.24E+07,364.41
16/01/2014,385.3,386.72,380.1,380.8,1.04E+07,359.5
17/01/2014,380.8,385.32,380.8,383.4,2.10E+07,361.95
18/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
19/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
20/01/2014,383.4,383.8,378.7,379.5,7.78E+06,358.27
21/01/2014,379.5,383.03,379.1,381.5,1.12E+07,360.16
22/01/2014,382,384.7,382,384.1,1.01E+07,362.61
23/01/2014,384.1,385.8,382.4,383.4,1.28E+07,361.95
24/01/2014,385.1,385.9,378.25,380.2,1.37E+07,358.93
25/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
26/01/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
27/01/2014,380,382.4,374.6,376.6,1.73E+07,355.53
28/01/2014,378.1,381.4,377,377.2,1.91E+07,356.1
29/01/2014,379,380.06,368.3,369.9,1.86E+07,349.21
30/01/2014,369.2,372.2,367.8,370.9,1.44E+07,350.15
31/01/2014,384.9,386.3,375,383.3,2.89E+07,361.86
01/02/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
02/02/2014,392.78,396.8,389.1,392.64,1.46E+07,376.27
