Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1750,1750,1685,1750,4.80E+05,1621.7
19/02/2013,1775,1829,1550,1690,1.76E+06,1566.1
20/02/2013,1724,1724,1602,1630,3.77E+05,1510.5
21/02/2013,1557,1632,1557,1615,1.30E+06,1496.6
22/02/2013,1630,1630,1600,1610,3.42E+05,1492
23/02/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
24/02/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
25/02/2013,1610,1610,1610,1610,0.00E+00,1492
26/02/2013,1626,1664,1601,1635,3.12E+05,1515.2
27/02/2013,1696,1725,1636.3,1718,6.88E+05,1592.1
28/02/2013,1717,1770,1705,1740,2.47E+05,1612.5
01/03/2013,1740,1775,1734,1751,4.32E+05,1622.7
02/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
03/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
04/03/2013,1705,1761,1700,1736,1.77E+05,1608.8
05/03/2013,1721,1748,1706,1740,2.83E+05,1612.5
06/03/2013,1800,1800,1711,1770,5.04E+05,1640.3
07/03/2013,1780,1875,1733,1875,3.33E+05,1737.6
08/03/2013,1800,1801,1750,1775,7.51E+06,1644.9
09/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
10/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
11/03/2013,1781,1849,1781,1824,1.32E+05,1690.3
12/03/2013,1829,1829,1788,1799,1.17E+05,1667.1
13/03/2013,1840,1840,1762,1797,2.81E+05,1665.3
14/03/2013,1751,1810,1736,1772,1.71E+05,1642.1
15/03/2013,1810,1810,1764,1791,1.73E+05,1659.7
16/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
17/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
18/03/2013,1791,1791,1791,1791,0.00E+00,1659.7
19/03/2013,1751,1810,1751,1810,2.12E+05,1677.3
20/03/2013,1756,1800,1756,1772,8.74E+04,1642.1
21/03/2013,1758,1800,1756,1768,7.92E+04,1638.4
22/03/2013,1735,1848.5,1735,1848,1.22E+06,1712.5
23/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
24/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
25/03/2013,1788,1801,1752,1795,3.94E+05,1663.4
26/03/2013,1794,1802,1736,1747,2.16E+05,1619
27/03/2013,1730,1793,1730,1753,1.42E+05,1624.5
28/03/2013,1744,1774,1738,1740,8.91E+04,1612.5
29/03/2013,1735,1750,1700,1725,1.16E+05,1598.6
30/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
31/03/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
01/04/2013,1763,1775,1670,1710,1.94E+05,1584.7
02/04/2013,1710,1710,1610,1625,2.08E+05,1505.9
03/04/2013,1602,1641,1541,1630,1.90E+05,1510.5
04/04/2013,1612,1612,1487,1529,3.75E+05,1416.9
05/04/2013,1531,1610,1531,1590,2.27E+05,1473.5
06/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
07/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
08/04/2013,1575,1639,1555,1615,1.72E+05,1496.6
09/04/2013,1593,1689,1575,1638,1.68E+05,1517.9
10/04/2013,1618,1671,1592,1626,1.53E+05,1506.8
11/04/2013,1605,1615,1538,1575,2.21E+05,1459.6
12/04/2013,1599,1599,1500,1500,3.35E+05,1390.1
13/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
14/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
15/04/2013,1515,1516,1401,1490,1.27E+05,1380.8
16/04/2013,1549,1549,1467,1514,1.26E+05,1403
17/04/2013,1490,1534,1444,1465,1.59E+05,1388.8
18/04/2013,1450,1509,1448,1481,2.86E+05,1404
19/04/2013,1482,1564,1482,1539,3.36E+05,1459
20/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
21/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
22/04/2013,1542,1600,1541,1582,9.42E+04,1499.7
23/04/2013,1578,1632,1574,1624,1.50E+05,1539.5
24/04/2013,1640,1640,1585,1605,1.51E+05,1521.5
25/04/2013,1630,1668,1616,1650,1.01E+05,1564.2
26/04/2013,1670,1702,1640,1662,1.68E+05,1575.6
27/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
28/04/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
29/04/2013,1674,1728,1648,1694,1.69E+05,1605.9
30/04/2013,1740,1740,1678,1702,7.30E+04,1613.5
01/05/2013,1712,1712,1644,1679,2.31E+05,1591.7
02/05/2013,1698,1713,1678,1700,2.06E+05,1611.6
03/05/2013,1719,1719,1641,1679,1.51E+05,1591.7
04/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
05/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
06/05/2013,1660,1703,1660,1675,1.71E+05,1587.9
07/05/2013,1670,1696,1620,1630,1.63E+05,1545.2
08/05/2013,1613,1690,1613,1673,1.00E+05,1586
09/05/2013,1648,1669,1614,1640,1.37E+05,1554.7
10/05/2013,1657,1657,1594,1616,9.24E+04,1532
11/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
12/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
13/05/2013,1600,1625,1600,1615,9.09E+04,1531
14/05/2013,1610,1635,1591,1624,5.47E+04,1539.5
15/05/2013,1601,1651,1601,1627,8.55E+04,1542.4
16/05/2013,1600,1662,1600,1654,1.08E+05,1568
17/05/2013,1626,1680.9,1626,1645,1.04E+05,1559.4
18/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
19/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
20/05/2013,1633,1700,1611,1681,1.39E+05,1593.6
21/05/2013,1691,1714,1656,1690,1.12E+05,1602.1
22/05/2013,1690,1738,1690,1712,2.40E+05,1623
23/05/2013,1720,1811,1715,1800,2.66E+05,1706.4
24/05/2013,1750,1822,1750,1800,1.64E+05,1706.4
25/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
26/05/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
27/05/2013,1825,1868,1786,1820,2.20E+05,1725.3
28/05/2013,1820,1820,1789,1820,3.00E+05,1725.3
29/05/2013,1810,1843,1801,1836,2.03E+05,1740.5
30/05/2013,1820,1921,1802,1900,1.92E+05,1801.2
31/05/2013,1894,1947,1855,1910,2.85E+05,1810.7
01/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
02/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
03/06/2013,1900,1900,1855,1870,3.53E+05,1772.7
04/06/2013,1870,1890,1834,1844,2.68E+05,1748.1
05/06/2013,1825,1892,1807,1843,3.74E+05,1747.2
06/06/2013,1825,1829,1768,1774,2.19E+05,1681.7
07/06/2013,1787,1791,1725,1773,3.57E+05,1680.8
08/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
09/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
10/06/2013,1760,1786,1730,1747,3.02E+05,1656.1
11/06/2013,1750,1793,1675,1769,1.01E+06,1677
12/06/2013,1765,1792,1750,1771,2.22E+05,1678.9
13/06/2013,1754,1807,1754,1774,3.23E+05,1681.7
14/06/2013,1801,1845,1779,1809,3.46E+05,1714.9
15/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
16/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
17/06/2013,1809,1809,1809,1809,0.00E+00,1714.9
18/06/2013,1789,1790,1740,1750,3.31E+05,1659
19/06/2013,1761,1763,1725,1740,2.48E+05,1649.5
20/06/2013,1734,1777,1718,1754,3.59E+05,1662.8
21/06/2013,1766,1789.1,1741,1782,8.81E+05,1689.3
22/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
23/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
24/06/2013,1755,1826,1755,1803,2.65E+05,1709.2
25/06/2013,1849,1849,1781,1800,1.71E+05,1706.4
26/06/2013,1795,1865,1790,1857,4.75E+05,1760.4
27/06/2013,1842,1865,1838,1856,1.67E+05,1759.5
28/06/2013,1847,1874,1831,1874,2.62E+05,1776.5
29/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
30/06/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
01/07/2013,1872,1904,1872,1885,3.45E+05,1787
02/07/2013,1875,1914,1874,1892,3.57E+05,1793.6
03/07/2013,1895,1914,1890,1913,3.44E+05,1813.5
04/07/2013,1915,1932,1847,1932,6.97E+05,1831.5
05/07/2013,1912,1944,1912,1938,3.73E+05,1837.2
06/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
07/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
08/07/2013,1945,1979,1939,1958,3.57E+05,1856.2
09/07/2013,1960,1974,1944,1965,5.57E+05,1862.8
10/07/2013,1952,1970,1945,1970,7.36E+05,1867.5
11/07/2013,1970,1973,1920,1921,9.27E+05,1821.1
12/07/2013,1885,1900,1827,1870,1.59E+07,1772.7
13/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
14/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
15/07/2013,1843,1854,1811,1825,8.67E+05,1730.1
16/07/2013,1824,1873,1820,1864,4.07E+05,1767.1
17/07/2013,1856,1859,1830,1843,1.69E+05,1747.2
18/07/2013,1840,1848,1822,1844,2.90E+05,1748.1
19/07/2013,1840,1854,1824.5,1854,3.42E+05,1757.6
20/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
21/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
22/07/2013,1830,1861,1830,1850,4.38E+05,1753.8
23/07/2013,1847,1852,1806,1825,3.94E+05,1730.1
24/07/2013,1818,1823,1765,1771,5.79E+05,1678.9
25/07/2013,1762,1776,1756,1758,2.12E+05,1666.6
26/07/2013,1751,1763,1747,1763,2.24E+05,1671.3
27/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
28/07/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
29/07/2013,1751,1763,1740,1747,1.53E+05,1656.1
30/07/2013,1740,1749,1724,1727,1.88E+05,1637.2
31/07/2013,1720,1730,1707,1722,2.13E+05,1632.4
01/08/2013,1722,1754,1722,1735,2.70E+05,1644.8
02/08/2013,1738,1740,1715,1728,1.84E+05,1638.1
03/08/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
04/08/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
05/08/2013,1717,1755,1717,1729,4.67E+05,1639.1
06/08/2013,1749,1760,1706,1730,4.77E+05,1640
07/08/2013,1750,1755,1725,1753,3.52E+05,1661.8
08/08/2013,1742,1764,1739,1749,2.29E+05,1658
09/08/2013,1765,1776,1728,1761,4.71E+05,1669.4
10/08/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
11/08/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
12/08/2013,1749,1783,1747,1764,2.25E+05,1672.3
13/08/2013,1761,1784,1715,1768,2.50E+05,1676.1
14/08/2013,1764,1788,1745,1787,2.61E+05,1694.1
15/08/2013,1782,1826,1770,1815,1.91E+05,1720.6
16/08/2013,1813,1830,1813,1813,2.38E+05,1718.7
17/08/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
18/08/2013,1474.3,1492.8,1456.3,1474.9,4.38E+05,1424.4
19/08/2013,1823,1840,1815,1823,3.04E+05,1728.2
