Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,2499,2504,2434,2462,1.02E+06,2251.4
19/02/2013,2456,2492,2446,2485,1.20E+06,2272.4
20/02/2013,2470,2492.3,2456,2480,1.02E+06,2283.2
21/02/2013,2459,2462,2362,2406,9.87E+05,2215
22/02/2013,2420,2434,2398.5,2408,1.07E+06,2216.9
23/02/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
24/02/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
25/02/2013,2415,2429,2397,2420,1.80E+06,2227.9
26/02/2013,2382,2405,2365,2399,8.55E+05,2208.6
27/02/2013,2412,2456,2412,2447,1.45E+06,2252.8
28/02/2013,2455,2485,2443,2478,8.62E+05,2281.3
01/03/2013,2479,2518,2464,2507,8.27E+05,2308
02/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
03/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
04/03/2013,2500,2520,2485,2515,5.50E+05,2315.4
05/03/2013,2522,2537.4,2507,2531,5.64E+05,2330.1
06/03/2013,2537,2548,2521,2532,5.26E+05,2331
07/03/2013,2528,2564.5,2508,2521,6.48E+05,2320.9
08/03/2013,2530,2537.5,2504,2529,5.67E+05,2328.3
09/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
10/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
11/03/2013,2517,2521,2483,2502,6.65E+05,2303.4
12/03/2013,2513,2519,2486,2491,3.17E+05,2293.3
13/03/2013,2487,2487,2441,2485,5.90E+05,2287.8
14/03/2013,2491,2501.5,2419,2430,1.31E+06,2237.1
15/03/2013,2449,2455,2280,2379,4.34E+06,2190.2
16/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
17/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
18/03/2013,2325,2345,2283,2323,1.63E+06,2138.6
19/03/2013,2314,2314,2255,2265,1.14E+06,2085.2
20/03/2013,2277,2294,2270,2280,8.94E+05,2099
21/03/2013,2277,2284,2236,2273,1.21E+06,2092.6
22/03/2013,2266,2296,2246,2279,1.03E+06,2098.1
23/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
24/03/2013,2720.3,2747.5,2691.9,2720.2,7.86E+05,2616
25/03/2013,2307,2307,2254,2254,9.09E+05,2075.1
26/03/2013,2252,2264,2236,2250,7.48E+05,2071.4
27/03/2013,2280,2280,2239,2263,1.32E+06,2083.4
28/03/2013,2264,2314,2254,2304,1.28E+06,2121.1
29/03/2013,2304,2304,2304,2304,0,2121.1
