Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,348.4,350.37,347.6,349.1,6.67E+06,301.27
19/02/2013,348.3,353.03,348.2,351.8,6.95E+06,303.6
20/02/2013,352,354.2,349.7,354,6.19E+06,305.5
21/02/2013,352.9,352.9,348.4,349,4.99E+06,301.19
22/02/2013,350.2,353.83,348.2,350.1,5.80E+06,302.14
23/02/2013,305,307.48,302.08,304.59,1.26E+07,283.73
24/02/2013,305,307.48,302.08,304.59,1.26E+07,283.73
25/02/2013,351.2,352.1,345.5,349.2,8.36E+06,301.36
26/02/2013,351.3,351.3,344.2,349.1,8.25E+06,301.27
27/02/2013,348,349,339.5,347.8,9.44E+06,300.15
28/02/2013,350.9,354,347.5,352.1,1.09E+07,303.86
01/03/2013,353.7,355.8,350.9,355.1,7.11E+06,306.45
02/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
03/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
04/03/2013,365,365.8,359.38,361.4,1.10E+07,311.89
05/03/2013,361.7,363.76,358.4,360.5,9.52E+06,311.11
06/03/2013,363.6,363.6,355.5,356.5,9.49E+06,307.66
07/03/2013,356.4,359.63,354.9,356,9.02E+06,307.23
08/03/2013,352,354.06,349.7,352.1,1.70E+07,303.86
09/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
10/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
11/03/2013,352.2,354,351.1,352.2,1.09E+07,303.95
12/03/2013,351.9,354.9,350.7,353.1,9.36E+06,304.73
13/03/2013,356,357,352.4,355.5,1.27E+07,306.8
14/03/2013,357.7,358.2,354.9,355.6,1.15E+07,306.88
15/03/2013,356.4,356.4,351.1,352,1.79E+07,303.78
16/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
17/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
18/03/2013,348.8,352,340.5,350,1.16E+07,302.05
19/03/2013,349.8,355.43,348.32,355,1.21E+07,306.37
20/03/2013,354.5,355.7,350.2,352.6,1.57E+07,304.29
21/03/2013,352.6,354.36,350,352.5,9.59E+06,304.21
22/03/2013,353,359.3,351.8,357.6,1.01E+07,308.61
23/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
24/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
25/03/2013,359.2,363.7,356.64,362.1,9.09E+06,312.49
26/03/2013,363.8,366.9,360,366.8,1.34E+07,316.55
27/03/2013,368.7,369,362.94,367,1.22E+07,316.72
28/03/2013,368.6,373.26,366.5,367.7,9.17E+06,317.33
29/03/2013,367.7,367.7,367.7,367.7,0,317.33
30/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
31/03/2013,305,307.48,302.08,304.59,1.26E+07,283.73
01/04/2013,367.7,367.7,367.7,367.7,0,317.33
02/04/2013,369.2,375.32,368.36,373.8,7.89E+06,322.59
03/04/2013,374.2,377.5,373.2,375.6,7.06E+06,324.14
04/04/2013,378.9,379,370.5,371.5,9.12E+06,320.61
05/04/2013,372.1,376.5,372.09,374.1,8.23E+06,322.85
06/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
07/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
08/04/2013,375,375,368,369.8,1.31E+07,319.14
09/04/2013,370.3,374.01,369.93,373.6,7.26E+06,322.42
10/04/2013,375,380.42,374.07,378.1,9.49E+06,326.3
11/04/2013,377.6,378.7,374.1,376.4,7.87E+06,324.83
12/04/2013,377.7,379.76,376.07,379.4,6.05E+06,327.42
13/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
14/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
15/04/2013,380.5,385,379.3,381.7,7.17E+06,329.41
16/04/2013,381,381.9,374.9,376.3,8.83E+06,324.75
17/04/2013,380,385.29,377.4,383,1.04E+07,330.53
18/04/2013,390,390,376,380.3,9.54E+06,328.2
19/04/2013,380.5,382.5,375.6,382.5,8.91E+06,330.1
20/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
21/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
22/04/2013,383.2,388.2,380.4,385.1,9.45E+06,332.34
23/04/2013,387.1,394.8,386.1,393.1,1.30E+07,339.25
24/04/2013,382.1,389.88,374.8,376.9,1.23E+07,336.47
25/04/2013,376.4,385.98,373.7,375,1.27E+07,334.77
26/04/2013,374.5,386.38,373.3,375.6,5.85E+06,335.31
27/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
28/04/2013,305,307.48,302.08,304.59,1.26E+07,283.73
29/04/2013,375.9,380.04,375.9,379.6,4.77E+06,338.88
30/04/2013,376,376,367.7,371,1.40E+07,331.2
01/05/2013,371.7,375.4,369.4,374.2,5.95E+06,334.06
02/05/2013,372.6,375.7,370.4,371.9,6.24E+06,332.01
03/05/2013,372.7,378.2,372.2,376.1,7.23E+06,335.75
04/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
05/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
06/05/2013,376.1,376.1,376.1,376.1,0,335.75
07/05/2013,384.1,384.1,372.9,374,8.97E+06,333.88
08/05/2013,375.7,378.3,373.67,377.5,8.94E+06,337
09/05/2013,377,378.86,375.2,378,4.57E+06,337.45
10/05/2013,377.7,381.1,376.64,377.5,7.62E+06,337
11/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
12/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
13/05/2013,379.6,381.7,378.2,380.8,4.70E+06,339.95
14/05/2013,380.8,385.3,380,384.9,9.47E+06,343.61
15/05/2013,385.2,385.9,383.13,385.9,6.41E+06,344.5
16/05/2013,387,387.8,385.22,386.5,6.26E+06,345.04
17/05/2013,386.2,389,385.2,386.9,7.07E+06,345.4
18/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
19/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
20/05/2013,388.2,393.1,387.68,393.1,5.03E+06,350.93
21/05/2013,393.3,394.9,391.02,394.9,1.02E+07,352.54
22/05/2013,393.5,395.49,390.3,392.8,1.33E+07,350.66
23/05/2013,390.8,392.9,387.8,391.5,8.38E+06,349.5
24/05/2013,391.8,392.84,387.6,389.7,7.47E+06,347.89
25/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
26/05/2013,305,307.48,302.08,304.59,1.26E+07,283.73
27/05/2013,389.7,389.7,389.7,389.7,0,347.89
28/05/2013,391.7,394.4,390.9,392.7,7.71E+06,350.57
29/05/2013,391.6,391.6,376.49,378.6,1.25E+07,337.99
30/05/2013,379.3,380.75,372.15,376,7.43E+06,335.67
31/05/2013,376.1,383.7,375.2,380,1.32E+07,339.24
01/06/2013,305,307.48,302.08,304.59,1.26E+07,283.73
02/06/2013,305,307.48,302.08,304.59,1.26E+07,283.73
03/06/2013,378.7,378.7,370.76,371.2,1.27E+07,331.38
04/06/2013,372.8,373.4,370.4,371.4,7.62E+06,331.56
05/06/2013,371.4,373.3,366.4,366.4,8.03E+06,327.1
06/06/2013,368.3,368.82,362.9,362.9,9.46E+06,323.97
07/06/2013,363.6,364.1,358.2,362.7,1.44E+07,323.79
08/06/2013,305,307.48,302.08,304.59,1.26E+07,283.73
09/06/2013,305,307.48,302.08,304.59,1.26E+07,283.73
10/06/2013,360.9,368.92,358.5,367.8,9.20E+06,328.35
11/06/2013,366.6,367.4,363,366.4,9.19E+06,327.1
