Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,783,785.83,777,783,1.42E+06,769.56
19/02/2013,782,799.5,782,798,2.69E+06,784.31
20/02/2013,792.5,809.58,788,809.5,2.71E+06,795.61
21/02/2013,806,814,799.5,804,3.12E+06,790.2
22/02/2013,804.5,810.5,797.5,799,3.32E+06,785.29
23/02/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
24/02/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
25/02/2013,798.5,806,793,801,8.04E+06,787.26
26/02/2013,793.5,795.5,786.5,792,2.49E+06,778.41
27/02/2013,793,799,790.99,798,1.61E+06,784.31
28/02/2013,799,803.78,797,800.5,4.14E+06,786.76
01/03/2013,799,822.5,797.5,820.5,3.50E+06,806.42
02/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
03/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
04/03/2013,819.5,823,815,822.5,2.48E+06,808.39
05/03/2013,826.5,832.08,825,830.5,2.03E+06,816.25
06/03/2013,830,837.5,828,833,2.69E+06,818.71
07/03/2013,835.5,837.5,829,833.5,3.12E+06,819.2
08/03/2013,837,837,821.54,834.5,2.59E+06,820.18
09/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
10/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
11/03/2013,834,837,831.65,837,1.89E+06,822.64
12/03/2013,839,847,836.5,844.5,2.11E+06,830.01
13/03/2013,844,845,833,837,2.37E+06,822.64
14/03/2013,837,849,835.5,846,2.56E+06,831.48
15/03/2013,850.5,853,834.5,835,4.75E+06,820.67
16/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
17/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
18/03/2013,823,840.5,820,838.5,2.31E+06,824.11
19/03/2013,839.5,844.89,833,840,2.27E+06,825.59
20/03/2013,845,849.5,838.16,843.5,2.33E+06,829.03
21/03/2013,841,841,827,834,2.56E+06,819.69
22/03/2013,830,837.5,827,832.5,2.01E+06,818.21
23/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
24/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
25/03/2013,838,845,830.5,835,1.95E+06,820.67
26/03/2013,807,827.5,807,824,6.68E+06,809.86
27/03/2013,830.5,832.5,821,829,3.00E+06,814.77
28/03/2013,832,843,828,840.5,3.17E+06,826.08
29/03/2013,840.5,840.5,840.5,840.5,0,826.08
30/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
31/03/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
01/04/2013,840.5,840.5,840.5,840.5,0,826.08
02/04/2013,840,863,840,852.5,2.23E+06,837.87
03/04/2013,854.5,860.5,846.5,850,2.08E+06,835.41
04/04/2013,852.5,855,832.5,836,2.53E+06,821.65
05/04/2013,835,836.96,813.5,814.5,2.26E+06,800.52
06/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
07/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
08/04/2013,816.5,829.5,816.5,824,2.47E+06,809.86
09/04/2013,828,828,813,814,2.21E+06,800.03
10/04/2013,814,819.5,810,817,4.60E+06,802.98
11/04/2013,815.5,827,809,821,3.55E+06,806.91
12/04/2013,821,824.5,808.5,815,2.64E+06,801.01
13/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
14/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
15/04/2013,812.5,820,810.2,819.5,2.47E+06,805.44
16/04/2013,815,825.5,811.5,824,3.69E+06,809.86
17/04/2013,830,834,822.5,827.5,2.79E+06,813.3
18/04/2013,823,824,809.5,823,5.54E+06,808.88
19/04/2013,823.5,824,814,824,3.05E+06,809.86
20/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
21/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
22/04/2013,827.5,830,813.5,816.5,2.85E+06,802.49
23/04/2013,819.5,847.5,819.5,845.5,3.13E+06,830.99
24/04/2013,846.5,848,836.5,840,2.53E+06,825.59
25/04/2013,840.5,845,833.5,843.5,2.47E+06,829.03
26/04/2013,842.5,849,835.5,841.5,1.83E+06,827.06
27/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
28/04/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
29/04/2013,844,856,842.5,855,2.59E+06,840.33
30/04/2013,857.5,860.35,838.5,847,3.83E+06,832.47
01/05/2013,850,854,846.5,853,1.51E+06,838.36
02/05/2013,850.5,855.5,843.5,854,2.97E+06,839.35
03/05/2013,854.5,861.95,848.5,856.5,2.86E+06,841.8
04/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
05/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
06/05/2013,856.5,856.5,856.5,856.5,0,841.8
07/05/2013,860,862,843.5,847,3.22E+06,832.47
08/05/2013,846,858.5,842,854.5,3.56E+06,839.84
09/05/2013,854,858,836.86,840,3.19E+06,825.59
10/05/2013,839,855.29,837,851.5,3.04E+06,836.89
11/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
12/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
13/05/2013,850.5,860,845,860,3.24E+06,845.24
14/05/2013,857,875,856.5,870,3.14E+06,855.07
15/05/2013,864,897,862,878,2.95E+06,862.93
16/05/2013,878.5,891,878.5,883.5,2.64E+06,868.34
17/05/2013,887,892,879.5,892,3.39E+06,876.69
18/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
19/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
20/05/2013,892,898,886,898,1.86E+06,882.59
21/05/2013,897,906.5,891.5,906.5,2.95E+06,890.94
22/05/2013,906,917,902,910.5,3.88E+06,894.88
23/05/2013,898,904,886.5,893,3.07E+06,877.68
24/05/2013,895,901.54,881.5,887,2.93E+06,871.78
25/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
26/05/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
27/05/2013,887,887,887,887,0,871.78
28/05/2013,903,906,890,901.5,2.95E+06,886.03
29/05/2013,900,909,873.5,876.5,2.75E+06,861.46
30/05/2013,876.5,880,871,874.5,2.15E+06,859.49
31/05/2013,872,873.5,852,866.5,4.27E+06,851.63
01/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
02/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
03/06/2013,862,862,846.59,853.5,2.12E+06,838.85
04/06/2013,858,867.5,854,866,1.88E+06,851.14
05/06/2013,865.5,866,852,855.5,2.49E+06,840.82
06/06/2013,854,856,838,838.5,2.01E+06,824.11
07/06/2013,841,853.5,836.5,850,2.59E+06,835.41
08/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
09/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
10/06/2013,850,860,848.13,855.5,1.93E+06,840.82
11/06/2013,849.5,850.5,827.62,838,3.96E+06,823.62
12/06/2013,839.5,851.5,837,840,2.41E+06,825.59
13/06/2013,831.5,841,815.23,840.5,2.99E+06,826.08
14/06/2013,855,855,838,839.5,2.79E+06,825.09
15/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
16/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
17/06/2013,840,846,837,838.5,2.40E+06,824.11
18/06/2013,843,852,842,845.5,3.86E+06,830.99
19/06/2013,846,847,836,839,1.87E+06,824.6
20/06/2013,831.5,840.5,823.5,826,3.27E+06,811.83
21/06/2013,830.5,840,818,819.5,6.46E+06,805.44
22/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
23/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
24/06/2013,819,826,809,811.5,2.22E+06,797.58
25/06/2013,814,828.5,807,827,2.91E+06,812.81
26/06/2013,826,840.5,822,835,3.02E+06,829.06
27/06/2013,833.5,856.5,829.5,852.5,4.40E+06,846.43
28/06/2013,851.5,855,839,840,6.56E+06,834.02
29/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
30/06/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
01/07/2013,848,865.5,846,863,2.35E+06,856.86
02/07/2013,866.5,866.5,852,858.5,2.47E+06,852.39
03/07/2013,853.5,860.5,851,857,2.21E+06,850.9
04/07/2013,862.5,882.5,861,882.5,2.25E+06,876.22
05/07/2013,882,892.5,863.26,872.5,4.45E+06,866.29
06/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
07/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
08/07/2013,877,888,875,881,2.24E+06,874.73
09/07/2013,889,895.5,882.5,888,2.20E+06,881.68
10/07/2013,888.5,894,883,889.5,2.34E+06,883.17
11/07/2013,900.5,905.5,887,894,2.46E+06,887.64
12/07/2013,893.5,904.5,893,896.5,1.91E+06,890.12
13/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
14/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
15/07/2013,899.5,901.5,893,897,1.72E+06,890.62
16/07/2013,898,900.01,879,883,2.77E+06,876.72
17/07/2013,885,891.5,877.5,884,2.21E+06,877.71
18/07/2013,884.5,898.5,880.5,895.5,1.88E+06,889.13
19/07/2013,895,897.5,892,896.5,4.24E+06,890.12
20/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
21/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
22/07/2013,897,897,880.5,882,1.86E+06,875.72
23/07/2013,882.5,894.95,876,876,2.31E+06,869.77
24/07/2013,888,895,881.5,885.5,1.93E+06,879.2
25/07/2013,887.5,889.5,871.82,879,2.52E+06,872.75
26/07/2013,877.5,884,873.5,874.5,2.46E+06,868.28
27/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
28/07/2013,998.2,1006.3,990.08,998.02,3.14E+06,981.56
29/07/2013,880.5,897.5,880.5,884,1.93E+06,877.71
30/07/2013,887.5,896,886.5,893.5,1.80E+06,887.14
