Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1814,1823,1811.6,1815,3.75E+05,1747.3
19/02/2013,1814,1852.9,1814,1852,8.40E+05,1783
20/02/2013,1854,1881,1846.2,1864,8.60E+05,1794.5
21/02/2013,1855,1858,1826,1840,8.11E+05,1771.4
22/02/2013,1839,1847,1821,1830,1.40E+06,1761.8
23/02/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
24/02/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
25/02/2013,1820,1828.9,1782,1815,1.30E+06,1747.3
26/02/2013,1807,1835,1797,1825,1.09E+06,1757
27/02/2013,1824,1838,1815,1831,7.03E+05,1762.7
28/02/2013,1844,1857,1833,1852,9.40E+05,1783
01/03/2013,1853,1874.4,1848,1863,7.26E+05,1793.6
02/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
03/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
04/03/2013,1856,1868,1847,1850,7.79E+05,1781
05/03/2013,1854,1869,1848,1866,1.03E+06,1796.4
06/03/2013,1849,1854,1820,1845,1.11E+06,1776.2
07/03/2013,1851,1870,1848.5,1859,8.55E+05,1789.7
08/03/2013,1864,1871,1854,1868,6.32E+05,1798.4
09/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
10/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
11/03/2013,1868,1878,1862,1871,9.19E+05,1801.3
12/03/2013,1873,1880,1861,1873,7.50E+05,1803.2
13/03/2013,1872,1889.6,1865,1889,7.85E+05,1818.6
14/03/2013,1890,1902,1881,1902,8.00E+05,1831.1
15/03/2013,1904,1904,1874,1899,2.27E+06,1828.2
16/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
17/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
18/03/2013,1871,1894,1870.2,1891,7.11E+05,1820.5
19/03/2013,1891,1905,1876,1879,8.48E+05,1809
20/03/2013,1888,1895,1877,1881,8.07E+05,1810.9
21/03/2013,1880,1882,1850,1855,1.07E+06,1785.9
22/03/2013,1847,1876,1821,1861,1.05E+06,1791.6
23/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
24/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
25/03/2013,1864,1894.3,1862.8,1873,6.31E+05,1803.2
26/03/2013,1877,1883,1854,1863,7.07E+05,1793.6
27/03/2013,1866,1885,1851,1872,6.99E+05,1802.2
28/03/2013,1870,1912,1870,1901,7.96E+05,1830.1
29/03/2013,1901,1901,1901,1901,0,1830.1
30/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
31/03/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
01/04/2013,1901,1901,1901,1901,0,1830.1
02/04/2013,1896,1943,1896,1931,9.49E+05,1859
03/04/2013,1925,1942,1920,1921,7.52E+05,1849.4
04/04/2013,1931,1931,1894,1894,8.42E+05,1823.4
05/04/2013,1891,1902,1848,1861,1.05E+06,1791.6
06/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
07/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
08/04/2013,1867,1898,1865.5,1873,6.83E+05,1803.2
09/04/2013,1876,1883,1846,1849,8.62E+05,1780.1
10/04/2013,1855,1876.4,1834,1870,1.02E+06,1800.3
11/04/2013,1856,1860,1832,1841,1.56E+06,1772.4
12/04/2013,1831,1854,1827,1844,8.73E+05,1775.3
13/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
14/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
15/04/2013,1846,1867,1836,1864,6.70E+05,1794.5
16/04/2013,1854,1854,1806,1830,1.25E+06,1761.8
17/04/2013,1840,1848.4,1812,1821,1.13E+06,1753.1
18/04/2013,1819,1831,1805,1815,1.27E+06,1747.3
19/04/2013,1823,1855,1791,1847,1.23E+06,1778.2
20/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
21/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
22/04/2013,1850,1865,1844,1850,9.93E+05,1781
23/04/2013,1875,1999,1861,1999,2.31E+06,1924.5
24/04/2013,1974,1990,1946,1950,1.56E+06,1877.3
25/04/2013,1943,1950.6,1908,1914,1.44E+06,1842.7
26/04/2013,1907,1939.8,1907,1925,1.08E+06,1853.2
27/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
28/04/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
29/04/2013,1935,1948,1928,1937,7.00E+05,1864.8
30/04/2013,1944,1958,1933,1935,1.08E+06,1862.9
01/05/2013,1941,1973,1931,1947,5.63E+05,1874.4
02/05/2013,1940,1958,1929,1940,9.01E+05,1867.7
03/05/2013,1944,1944,1916,1934,1.20E+06,1861.9
04/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
05/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
06/05/2013,1934,1934,1934,1934,0,1861.9
07/05/2013,1919,1939,1914,1934,1.52E+06,1861.9
08/05/2013,1949,1994,1939,1986,1.21E+06,1912
09/05/2013,1986,1995,1969,1986,5.22E+05,1912
10/05/2013,1986,2005,1968,1988,5.04E+05,1913.9
11/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
12/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
13/05/2013,1986,2003,1982,1993,5.51E+05,1918.7
14/05/2013,1991,2014,1985,2013,5.30E+05,1938
15/05/2013,2011,2044,2007,2031,7.21E+05,1955.3
16/05/2013,2021,2039,1912,1925,1.93E+06,1853.2
17/05/2013,1913,1921.1,1863,1886,1.51E+06,1815.7
18/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
19/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
20/05/2013,1919,1926.4,1898,1926,8.02E+05,1854.2
21/05/2013,1930,1952,1920.6,1949,9.50E+05,1876.3
22/05/2013,1947,1961,1939,1941,1.23E+06,1868.6
23/05/2013,1921,1957,1915,1940,1.06E+06,1867.7
24/05/2013,1948,1958,1921,1932,5.31E+05,1860
25/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
26/05/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
27/05/2013,1932,1932,1932,1932,0,1860
28/05/2013,1965,1965,1942.8,1943,8.83E+05,1870.6
29/05/2013,1943,1943,1872,1874,1.17E+06,1804.1
30/05/2013,1869,1882,1859.3,1863,8.77E+05,1793.6
31/05/2013,1865,1865,1811.5,1812,1.39E+06,1744.5
01/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
02/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
03/06/2013,1802,1877,1778,1837,1.15E+06,1768.5
04/06/2013,1845,1870,1845,1867,8.47E+05,1797.4
05/06/2013,1850,1861,1839,1839,1.36E+06,1780.4
06/06/2013,1843,1848,1825,1825,7.13E+05,1766.8
07/06/2013,1828,1848,1805,1844,6.40E+05,1785.2
08/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
09/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
10/06/2013,1839,1840,1810,1833,4.93E+05,1774.5
11/06/2013,1830,1830.8,1777,1782,1.34E+06,1725.2
12/06/2013,1783,1797,1777,1785,1.21E+06,1728.1
13/06/2013,1766,1795,1758.5,1794,8.16E+05,1736.8
14/06/2013,1805,1805,1777,1782,8.47E+05,1725.2
15/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
16/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
17/06/2013,1765,1769,1723,1732,1.59E+06,1676.8
18/06/2013,1725,1749,1724.4,1743,9.62E+05,1687.4
19/06/2013,1745,1764,1723,1761,1.07E+06,1704.8
20/06/2013,1734,1738,1698,1705,8.66E+05,1650.6
21/06/2013,1715,1747,1702.7,1703,1.50E+06,1648.7
22/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
23/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
24/06/2013,1702,1702,1657,1680,1.00E+06,1626.4
25/06/2013,1693,1700,1680,1691,7.50E+05,1637.1
26/06/2013,1693,1706,1685,1689,9.65E+05,1635.1
27/06/2013,1690,1721,1679,1717,1.06E+06,1662.2
28/06/2013,1718,1761,1709,1735,1.21E+06,1679.7
29/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
30/06/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
01/07/2013,1751,1758,1727,1751,6.36E+05,1695.2
02/07/2013,1760,1760,1739,1754,4.36E+05,1698.1
03/07/2013,1744,1750,1728,1750,8.10E+05,1694.2
04/07/2013,1746,1807,1732,1805,7.90E+05,1747.4
05/07/2013,1803,1862,1797,1816,1.49E+06,1758.1
06/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
07/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
08/07/2013,1829,1841,1816,1822,5.94E+05,1763.9
09/07/2013,1829,1843.7,1797,1820,7.07E+05,1762
10/07/2013,1822,1828,1796,1815,1.00E+06,1757.1
11/07/2013,1890,1964,1863,1907,2.20E+06,1846.2
12/07/2013,1917,1917,1868,1879,9.77E+05,1819.1
13/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
14/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
15/07/2013,1876,1913,1876,1897,6.30E+05,1836.5
16/07/2013,1903,1911,1866.6,1882,5.80E+05,1822
17/07/2013,1881,1896,1858,1880,4.76E+05,1820
18/07/2013,1872,1891,1866,1884,5.15E+05,1823.9
19/07/2013,1887,1896,1874,1888,8.51E+05,1827.8
20/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
21/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
22/07/2013,1895,1904,1880,1885,4.81E+05,1824.9
23/07/2013,1894,1894,1862,1862,4.71E+05,1802.6
24/07/2013,1878,1897,1868,1893,5.68E+05,1832.6
25/07/2013,1889,1894,1867,1886,6.42E+05,1825.9
26/07/2013,1887,1902,1878,1887,7.11E+05,1826.8
27/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
28/07/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
29/07/2013,1892,1914,1886.3,1896,4.43E+05,1835.5
30/07/2013,1904,1925,1900.3,1910,5.45E+05,1849.1
31/07/2013,1924,1954,1908,1944,7.95E+05,1882
01/08/2013,1957,1965,1927,1954,8.48E+05,1891.7
02/08/2013,1960,1963,1941,1959,4.47E+05,1896.5
03/08/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
04/08/2013,2702.5,2726.7,2673.9,2702.7,7.71E+05,2657.7
05/08/2013,1965,1986,1953,1962,4.80E+05,1899.4
