Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1378,1393,1370,1390,1.09E+06,1237.9
19/02/2013,1380,1398,1372,1398,1.98E+06,1245
20/02/2013,1400,1425,1388.6,1404,1.73E+06,1250.4
21/02/2013,1384,1392,1333,1336,3.29E+06,1189.8
22/02/2013,1340,1396,1340,1394,2.96E+06,1241.5
23/02/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
24/02/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
25/02/2013,1395,1438,1390,1421,5.41E+06,1265.5
26/02/2013,1385,1455,1382.8,1435,5.21E+06,1278
27/02/2013,1442,1454.2,1418,1435,3.29E+06,1278
28/02/2013,1431,1447.7,1425,1438,2.49E+06,1280.7
01/03/2013,1431,1449,1412,1441,2.73E+06,1283.3
02/03/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
03/03/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
04/03/2013,1435,1470,1423,1461,2.22E+06,1301.1
05/03/2013,1470,1515,1460,1514,4.39E+06,1348.3
06/03/2013,1484,1494,1446,1450,3.53E+06,1330
07/03/2013,1447,1493,1447,1480,2.75E+06,1357.5
08/03/2013,1489,1500,1477,1490,2.34E+06,1366.7
09/03/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
10/03/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
11/03/2013,1485,1502,1483,1498,1.37E+06,1374
12/03/2013,1497,1501,1481,1494,1.35E+06,1370.4
13/03/2013,1488,1492,1466,1488,3.11E+06,1364.9
14/03/2013,1489,1540,1489,1540,2.47E+06,1412.5
15/03/2013,1538,1554,1518.5,1527,3.46E+06,1400.6
16/03/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
17/03/2013,1614.1,1634.5,1594.8,1614.3,2.10E+06,1550.8
18/03/2013,1475,1526.8,1475,1517,1.71E+06,1391.5
19/03/2013,1514,1534,1502,1507,1.90E+06,1382.3
20/03/2013,1528,1537,1513,1528,2.58E+06,1401.5
21/03/2013,1515,1520,1485,1493,2.09E+06,1369.4
