Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,209.25,209.25,200,203.25,2.56E+05,191.1
19/02/2013,204.25,216.25,203.13,208.75,3.81E+05,196.27
20/02/2013,210,211.5,204.35,208.5,3.84E+05,196.04
21/02/2013,208.75,208.75,202.5,202.5,2.73E+05,190.4
22/02/2013,204.75,214.75,204.5,213.5,4.16E+05,200.74
23/02/2013,352.05,356.34,347.97,352,1.90E+06,342.5
24/02/2013,352.05,356.34,347.97,352,1.90E+06,342.5
25/02/2013,215,216,211,213,2.91E+05,200.27
26/02/2013,208.25,213.75,207.25,209.5,2.43E+05,196.98
27/02/2013,208.25,212,205.75,205.75,1.65E+05,193.45
28/02/2013,205,213,205,210,4.34E+05,197.45
01/03/2013,210,210,205.75,206,2.35E+05,193.69
02/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
03/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
04/03/2013,208.25,208.25,204.95,206.5,2.79E+05,194.16
05/03/2013,206,208.25,204.75,204.75,3.30E+05,192.51
06/03/2013,205.5,206,204.25,204.75,8.76E+04,192.51
07/03/2013,204.5,206,203.5,204,1.69E+05,191.81
08/03/2013,204.75,206,203,204,1.34E+05,191.81
09/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
10/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
11/03/2013,203.25,205.75,201.5,202.5,1.68E+05,190.4
12/03/2013,204,204,195.08,199.25,3.05E+05,187.34
13/03/2013,199,200,192.5,192.5,6.46E+05,181
14/03/2013,194.75,200.25,194.75,199,5.30E+05,187.11
15/03/2013,200.75,202,198,199.5,6.34E+05,187.58
16/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
17/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
18/03/2013,196,207,194.61,203.5,4.45E+05,191.34
19/03/2013,205,205,199.75,200.5,2.46E+05,188.52
20/03/2013,202.75,210,201,204,3.83E+05,191.81
21/03/2013,204.5,205.27,199.75,200,2.45E+05,188.05
22/03/2013,198.75,203,198.75,200.5,1.38E+05,188.52
23/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
24/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
25/03/2013,201,203,198.5,199.5,1.99E+05,187.58
26/03/2013,198.5,203,198.5,201.75,5.81E+05,189.69
27/03/2013,202,202,198,199.75,3.39E+05,187.81
28/03/2013,201,203,199.25,201.5,2.47E+05,189.46
29/03/2013,201.5,201.5,201.5,201.5,0,189.46
30/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
31/03/2013,352.05,356.34,347.97,352,1.90E+06,342.5
01/04/2013,201.5,201.5,201.5,201.5,0,189.46
02/04/2013,201,204,199.25,199.5,2.01E+05,187.58
03/04/2013,199.75,200.5,197,197,2.09E+05,185.23
04/04/2013,197.5,198.25,191.85,195.5,1.61E+05,183.82
05/04/2013,195.75,197.75,187.5,190,2.28E+05,178.65
06/04/2013,352.05,356.34,347.97,352,1.90E+06,342.5
07/04/2013,352.05,356.34,347.97,352,1.90E+06,342.5
08/04/2013,191.5,193,188,188.5,2.30E+05,177.24
09/04/2013,192.5,194.75,189.25,190.5,2.31E+05,179.12
