Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,2709,2709,2661.5,2690,2.11E+04,2507.7
19/02/2013,2674,2720,2674,2705,2.15E+04,2521.7
20/02/2013,2708.5,2711,2685,2685,1.92E+04,2503.1
21/02/2013,2676,2705.5,2648,2660,1.76E+04,2479.8
22/02/2013,2664.5,2705.5,2647.5,2650,5.46E+04,2470.4
23/02/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
24/02/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
25/02/2013,2685,2700,2668,2680,1.82E+04,2498.4
26/02/2013,2640,2686.5,2640,2675,4.03E+04,2493.7
27/02/2013,2702,2739.5,2685,2685,3.15E+04,2503.1
28/02/2013,2716,2736.5,2675,2683.5,3.25E+04,2501.7
01/03/2013,2250,2406,2250,2325,2.07E+04,2167.5
02/03/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
03/03/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
04/03/2013,2374,2374,2320,2330,7.00E+03,2172.1
05/03/2013,2374,2399,2360,2363,5.16E+04,2202.9
06/03/2013,2396,2399.2,2325,2355,1.78E+04,2195.4
07/03/2013,2300,2413,2300,2392,1.33E+04,2229.9
08/03/2013,2413,2415,2369,2372,7.30E+03,2211.3
09/03/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
10/03/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
11/03/2013,2429,2438,2350,2385,1.69E+04,2223.4
12/03/2013,2371,2469,2370,2400,3.35E+04,2237.4
13/03/2013,2370,2395,2335,2380,3.60E+03,2218.7
14/03/2013,2380,2420,2340,2350,1.71E+04,2190.8
15/03/2013,2351,2432,2244.7,2320,1.91E+04,2162.8
16/03/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
17/03/2013,3652.9,3688.1,3616.5,3652.4,1.93E+05,3568.2
