Date,Open,High,Low,Close,Volume,Adj Close
18/02/2013,1929.5,1930.5,1917.8,1922,1.59E+06,1746.4
19/02/2013,1920,1946.8,1919.5,1944.5,2.59E+06,1766.9
20/02/2013,1943.5,1970.4,1938.5,1962,2.96E+06,1782.8
21/02/2013,1957.5,1963.5,1932.7,1949,5.45E+06,1771
22/02/2013,1945,1977.5,959.75,1973.5,3.36E+06,1793.2
23/02/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
24/02/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
25/02/2013,1983.5,1985,1955.5,1967,5.10E+06,1787.3
26/02/2013,1950,1969,1942.5,1961,6.42E+06,1781.9
27/02/2013,1944,1946.3,1931.5,1945,3.89E+06,1783.8
28/02/2013,1956,1982,1945,1980,4.75E+06,1815.9
01/03/2013,1987.5,2003.3,1968,1972,3.81E+06,1808.6
02/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
03/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
04/03/2013,1961,1986.5,1961,1975,3.56E+06,1811.3
05/03/2013,1987,1998,1975.5,1996,6.13E+06,1830.6
06/03/2013,1999,2010.5,1996,2000,4.08E+06,1834.2
07/03/2013,2004.5,2022,1999.2,2000.5,3.15E+06,1834.7
08/03/2013,2003,2005,1985.5,1994,5.63E+06,1828.7
09/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
10/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
11/03/2013,1994,2008.5,1989.5,1998.5,3.81E+06,1832.9
12/03/2013,1997,2012,1988.8,2009,4.00E+06,1842.5
13/03/2013,2002,2005,1979.8,1988,4.47E+06,1823.2
14/03/2013,2000,2021.5,1956.3,2018.5,6.36E+06,1851.2
15/03/2013,2022,2023,2000,2012,6.08E+06,1845.2
16/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
17/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
18/03/2013,1984.5,2018,1980,2013,3.30E+06,1846.2
19/03/2013,2001.5,2044.5,2001,2042.5,4.04E+06,1873.2
20/03/2013,2045,2054,2024,2032.5,4.29E+06,1864.1
21/03/2013,2029,2037,2006,2011.5,4.15E+06,1844.8
22/03/2013,2008.5,2038,2003,2031.5,7.77E+06,1863.1
23/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
24/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
25/03/2013,2037,2045,2023.5,2034.5,3.10E+06,1865.9
26/03/2013,2026.5,2033,2008.9,2025,3.65E+06,1857.2
27/03/2013,2026.5,2043,2009.1,2040,3.36E+06,1870.9
28/03/2013,2046,2082.5,2043,2075,4.67E+06,1903
29/03/2013,2075,2075,2075,2075,0,1903
30/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
31/03/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
01/04/2013,2075,2075,2075,2075,0,1903
02/04/2013,2064.5,2089.5,2061.5,2084.5,5.25E+06,1911.7
03/04/2013,2088.5,2115,2085,2085,3.36E+06,1912.2
04/04/2013,2070,2085,2043,2046,3.44E+06,1876.4
05/04/2013,2050.5,2050.5,1984.6,1997,4.75E+06,1831.5
06/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
07/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
08/04/2013,1999,2033,1996.7,2017,5.82E+06,1849.8
09/04/2013,2029.5,2031.1,1958,1965.5,7.64E+06,1802.6
10/04/2013,1969,2001.5,1958.5,1987.5,4.58E+06,1822.8
11/04/2013,1985,2005,1974,2001.5,2.76E+06,1835.6
12/04/2013,2000,2013.6,1982.2,1987,2.76E+06,1822.3
13/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
14/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
15/04/2013,1971.5,2001,1971.5,1996,2.74E+06,1830.6
16/04/2013,1994.5,1999,1960,1960.5,4.39E+06,1798
17/04/2013,1974.5,1995,1965.5,1974.5,5.88E+06,1810.9
18/04/2013,1940,1989,1935.1,1978,5.47E+06,1814.1
19/04/2013,1985,1985.3,1966.5,1975,5.59E+06,1811.3
20/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
21/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
22/04/2013,1976,1988,1961.5,1965,3.45E+06,1802.1
23/04/2013,1969,2010.2,1966.4,2007.5,5.83E+06,1841.1
24/04/2013,2014.5,2015.5,1979,1993,4.84E+06,1827.8
25/04/2013,1987,1989.5,1949.5,1951.5,5.14E+06,1789.8
26/04/2013,1950,1959.5,1941,1947.5,3.47E+06,1786.1
27/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
28/04/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
29/04/2013,1945,1958,1940.5,1957,4.89E+06,1794.8
30/04/2013,1958.5,1965,1951.5,1964,4.51E+06,1801.2
01/05/2013,1972.5,1978.5,1964,1971,1.82E+06,1807.6
02/05/2013,1967.5,1976.5,1961,1970,3.49E+06,1806.7
03/05/2013,1970,1985,1957,1974,3.07E+06,1810.4
04/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
05/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
06/05/2013,1974,1974,1974,1974,0,1810.4
07/05/2013,2014,2014,1968,1977,4.10E+06,1813.2
08/05/2013,1981,1995,1968,1987,3.47E+06,1822.3
09/05/2013,1992.5,1997,1984,1993.5,3.19E+06,1828.3
10/05/2013,1997.5,2028.5,1990.5,2020,4.27E+06,1852.6
11/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
12/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
13/05/2013,2023,2037.5,2020,2037,3.09E+06,1868.2
14/05/2013,2042.5,2070.5,2031,2069,3.69E+06,1897.5
15/05/2013,2065,2082.5,2039.5,2059.5,4.45E+06,1888.8
16/05/2013,2067,2078,2046,2050.5,3.52E+06,1880.6
17/05/2013,2043.5,2047,2013.5,2028,4.27E+06,1859.9
18/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
19/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
20/05/2013,2029.5,2046,2024.3,2045,2.05E+06,1875.5
21/05/2013,2035.5,2038,2022.5,2038,3.13E+06,1869.1
22/05/2013,2035,2067,2020,2063,6.24E+06,1892
23/05/2013,2029.5,2038,1997.5,2013,4.99E+06,1846.2
24/05/2013,2016,2032.1,2006.6,2019.5,2.78E+06,1852.1
25/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
26/05/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
27/05/2013,2019.5,2019.5,2019.5,2019.5,0,1852.1
28/05/2013,2038,2059.5,2036,2047.5,3.52E+06,1877.8
29/05/2013,2038,2047,1982,1982.5,4.05E+06,1818.2
30/05/2013,1973,1987,1964.5,1977,3.32E+06,1813.2
31/05/2013,1968,1968,1936,1951,4.76E+06,1789.3
01/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
02/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
03/06/2013,1939.5,1966,1922,1940,3.77E+06,1779.2
04/06/2013,1948.5,1972,1945,1956,2.60E+06,1793.9
05/06/2013,1944,1951,1911,1911,3.20E+06,1752.6
06/06/2013,1908.5,1924.7,1898.5,1900,3.81E+06,1742.5
07/06/2013,1893.5,1961,1883,1956.5,4.94E+06,1794.3
08/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
09/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
10/06/2013,1945,1954.5,1936.5,1948,4.43E+06,1786.6
11/06/2013,1942.5,1942.5,1889,1906,5.87E+06,1748
12/06/2013,1905,1911,1887.5,1887.5,4.39E+06,1731.1
13/06/2013,1875,1902,1860.4,1899,3.85E+06,1741.6
14/06/2013,1912.5,1912.5,1880,1883.5,3.66E+06,1727.4
15/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
16/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
17/06/2013,1892.5,1912.5,1883,1900,4.09E+06,1742.5
18/06/2013,1887,1902,1879.5,1886,3.38E+06,1729.7
19/06/2013,1894.5,1928.5,1875.5,1925.5,5.16E+06,1765.9
20/06/2013,1900,1906,1832.9,1838.5,6.78E+06,1686.1
21/06/2013,1835,1897.5,1827,1843.5,1.36E+07,1690.7
22/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
23/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
24/06/2013,1825,1833,1809.5,1822.5,4.22E+06,1671.5
25/06/2013,1845,1874,1825,1868.5,7.92E+06,1713.6
26/06/2013,1868.5,1887,1859,1874.5,4.24E+06,1719.1
27/06/2013,1876,1904,1869.5,1891,4.97E+06,1734.3
28/06/2013,1910,1910,1874.5,1880,7.71E+06,1724.2
29/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
30/06/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
01/07/2013,1896.5,1938.5,1890.5,1933.5,4.05E+06,1773.3
02/07/2013,1929.5,1929.5,1899,1920,2.81E+06,1760.9
03/07/2013,1909.5,1911.5,1884,1897.5,4.47E+06,1740.2
04/07/2013,1911.5,1972,1906,1967.5,2.77E+06,1804.4
05/07/2013,1970.5,2011,1958.5,1961.5,3.87E+06,1798.9
06/07/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
07/07/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
08/07/2013,1978.5,1997.5,1972,1986.5,1.96E+06,1821.9
09/07/2013,1998.5,2014,1985.3,1997,2.93E+06,1831.5
10/07/2013,1997.5,2017.5,1969,1988,4.44E+06,1823.2
11/07/2013,2007.5,2023.5,2004,2019,2.94E+06,1851.7
12/07/2013,2027,2034.5,1996,1999.5,1.88E+06,1833.8
13/07/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
14/07/2013,1888.4,1903,1869.3,1887.4,4.06E+06,1791.8
