Date,Open,High,Low,Close,Volume,Adj Close
2016-02-17,677.00,692.00,676.50,688.50,2880300,681.41
2016-02-16,684.00,684.00,671.235,676.00,3608500,669.039
2016-02-15,667.50,679.50,665.00,678.50,4310800,671.513
2016-02-12,656.00,665.50,646.50,652.50,9142600,645.781
2016-02-11,678.00,678.00,651.00,651.00,5096800,644.296
2016-02-10,678.50,692.50,673.00,682.50,4006000,675.472
2016-02-09,681.50,685.00,663.50,669.00,5758900,662.111
2016-02-08,718.50,720.00,676.50,679.00,5743500,672.008
2016-02-05,714.50,726.902,713.50,715.50,4150500,708.132
2016-02-04,731.00,734.50,712.00,714.50,3903400,707.142
2016-02-03,738.50,739.00,716.00,721.00,4264500,713.575
2016-02-02,748.00,749.50,734.50,735.00,3022100,727.431
2016-02-01,747.50,749.00,734.50,748.50,4139600,740.792
2016-01-29,729.00,740.00,726.399,740.00,3962500,732.38
2016-01-28,726.00,733.50,650.00,721.50,2165900,714.07
2016-01-27,733.50,747.43,723.493,730.00,3906400,722.483
2016-01-26,726.00,737.991,724.00,733.00,3784400,725.452
2016-01-25,738.00,738.00,727.54,735.00,4230100,727.431
2016-01-22,723.00,732.00,715.00,730.50,5299800,722.977
2016-01-21,700.00,716.50,694.00,715.00,5689000,707.637
2016-01-20,707.00,715.00,694.50,696.50,4506300,689.328
2016-01-19,730.00,730.00,712.00,715.00,4636600,707.637
2016-01-18,715.50,723.50,712.00,712.00,3178500,704.668
2016-01-15,730.00,735.50,715.00,715.00,5637600,707.637
2016-01-14,737.50,750.111,729.50,732.00,4656800,724.462
2016-01-13,749.50,751.066,739.985,742.50,6249700,734.854
2016-01-12,742.50,754.00,738.00,745.00,2917200,737.328
2016-01-11,744.50,755.50,739.00,741.00,3690500,733.369
2016-01-08,756.00,758.50,741.50,741.50,2931800,733.864
2016-01-07,753.00,761.09,748.00,755.50,3720900,747.72
2016-01-06,782.00,789.50,770.15,771.50,3366400,756.538
2016-01-05,779.50,786.92,775.00,784.50,2729700,769.286
2016-01-04,778.00,786.00,765.50,770.50,3874700,755.558
2015-12-31,789.00,790.78,784.00,786.00,1321800,770.757
2015-12-30,794.00,798.00,782.50,787.50,2076300,772.228
2015-12-29,793.50,801.00,791.50,796.50,1989000,781.053
2015-12-28,793.50,793.50,793.50,793.50,000,778.112
2015-12-25,793.50,793.50,793.50,793.50,000,778.112
2015-12-24,791.50,795.00,788.50,793.50,297500,778.112
2015-12-23,784.00,789.50,776.992,789.50,1743300,774.189
2015-12-22,782.00,787.00,773.50,780.00,1973400,764.873
